Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_tags_kb	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_tags_kb	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct	tss_up_5kb-10kb_total_bases	tss_up_1kb-5kb_total_bases	tss_up_5kb-10kb_tag_count	tss_up_1kb-5kb_tag_count	tes_down_5kb-10kb_total_bases	tes_down_1kb-5kb_total_bases	tes_down_5kb-10kb_tag_count	tes_down_1kb-5kb_tag_count
ES14_209_MG-lipid_21	71088827	82094018	80897156	33276731	56452734	1696.46	4740658	5266803	1110.99	20563428	13221767	642.97	506681601	4384490	8.65	12297643	115142	9.36	3.91	2.75	12593343	544610	43.25	28.36	18.0	1196862	68.76595320258292	6.415574640286215	16.105639999250617	5.340815453812969	0.14025626081549572	0.22874626504454926	0.2687674514847111	0.6633979104299659	1.5824977649406806	1.6453330375423945	1.457916215040175	32123943	35773054	32855	72645	29212114	33220403	51584	754526
ES15_601_Control-protein_14	78260685	90881044	89264147	33276731	62410099	1875.49	4740658	5397216	1138.49	20563428	14322094	696.48	506681601	5217379	10.3	12297643	177271	14.42	6.42	4.67	12593343	630328	50.05	32.01	20.57	1616897	68.6722954018882	5.9387698055053155	15.759165354658558	5.740888055819429	0.19505827859988054	0.33940521193836637	0.4117019166285106	0.6935747789164922	1.613821689812454	1.6980438737037398	1.7791355917962386	32123943	35773054	65704	131184	29212114	33220403	76542	836330
ES16_601_Control-protein_21	87067611	101339262	99614649	33276731	70041763	2104.83	4740658	5578030	1176.64	20563428	16514044	803.08	506681601	5543224	10.94	12297643	181966	14.8	6.44	4.69	12593343	666654	52.94	32.25	20.82	1724613	69.11611710770106	5.504312829907919	16.295800535827862	5.469966813060076	0.1795612050144987	0.30541963094225016	0.37084146122950845	0.6578437486548895	1.4577933279206237	1.5411400963231803	1.7018211559503955	32123943	35773054	66298	127544	29212114	33220403	84463	810663
ES17_615_Control-protein_0	82630872	95443827	93906153	33276731	66166236	1988.36	4740658	5692898	1200.87	20563428	15000527	729.48	506681601	5150325	10.16	12297643	143571	11.67	5.24	3.8	12593343	651692	51.75	33.14	21.21	1537674	69.32479352488663	5.964658143894418	15.716602604377966	5.396184501277385	0.1504246052497455	0.2639730697303242	0.3190316331301342	0.6828016231997907	1.5906623274860932	1.6676521154165371	1.6110774770169263	32123943	35773054	52550	108375	29212114	33220403	73482	866497
ES18_615_Control-protein_14	77952926	89849177	88175200	33276731	59635924	1792.12	4740658	4707560	993.02	20563428	15504831	754.0	506681601	6312374	12.46	12297643	170070	13.83	6.37	4.67	12593343	669223	53.14	33.91	21.86	1673977	66.37336700368441	5.239402471098873	17.256508648932865	7.025522337283068	0.18928387068030686	0.34088347854315904	0.41711789969984925	0.7448293043351972	1.7290241846066103	1.8249849968019185	1.863096642499018	32123943	35773054	68496	136211	29212114	33220403	86220	884291
ES19_615_Control-protein_21	74987937	86676945	85059198	33276731	58075656	1745.23	4740658	4843803	1021.76	20563428	14610430	710.51	506681601	5614759	11.08	12297643	161211	13.11	5.91	4.37	12593343	644039	51.14	32.38	20.84	1617747	67.00242607766114	5.588340705824369	16.856189382309218	6.4777998347772865	0.1859906345337852	0.3275946100776856	0.4046577783746301	0.7430338021258133	1.711485101372689	1.8041764162315597	1.8664098048218014	32123943	35773054	66796	122738	29212114	33220403	80342	839424
ES1_48_Control-lipid_0	89366404	103713231	101850394	33276731	70150265	2108.09	4740658	6042503	1274.61	20563428	17300952	841.35	506681601	6157250	12.15	12297643	199515	16.22	6.72	4.72	12593343	747347	59.34	37.94	24.27	1862837	67.6386844027644	5.826164069654719	16.681528319178483	5.9368027980923666	0.19237179102056903	0.3113652876169676	0.36480302113044766	0.7205898348688028	1.675873929720693	1.755875294252476	1.7961420949271167	32123943	35773054	55422	123412	29212114	33220403	82972	990756
ES20_618_Control-lipid_0	85592381	99180026	97522454	33276731	68421727	2056.14	4740658	6412298	1352.62	20563428	15348305	746.39	506681601	5246026	10.35	12297643	188989	15.37	6.53	4.64	12593343	685171	54.41	35.88	22.95	1657572	68.98740579075871	6.465311876405437	15.475197596741907	5.289397685779998	0.19055147253137442	0.31654357501378355	0.37520861307295883	0.6908356729005093	1.6573810940521434	1.736202408335727	1.6712760289052557	32123943	35773054	58184	124959	29212114	33220403	78175	958620
ES21_618_Control-lipid_14	59937159	69796479	68563289	33276731	48143641	1446.77	4740658	4146056	874.57	20563428	10968944	533.42	506681601	3835917	7.57	12297643	121068	9.84	4.34	3.13	12593343	493792	39.21	25.3	16.24	1233190	68.97717720115939	5.9402079580547325	15.71561224456609	5.495860328427169	0.1734586067013495	0.2987500272040943	0.35906539067679905	0.7074740833273265	1.6608602849436	1.7452398995657072	1.7668369775501138	32123943	35773054	42098	87449	29212114	33220403	58894	665430
ES22_618_Control-lipid_21	81072848	93793705	92068744	33276731	63330276	1903.14	4740658	5966174	1258.51	20563428	15296526	743.87	506681601	5442952	10.74	12297643	190827	15.52	6.73	4.81	12593343	663035	52.65	34.28	21.96	1724961	67.52081709534771	6.3609535416049505	16.30869150546937	5.803110134096952	0.20345395248007317	0.3450434120285578	0.41103184909904134	0.7069077823506386	1.6745910613084323	1.756294838763433	1.8391010356185418	32123943	35773054	61893	132802	29212114	33220403	76633	907626
