Sample	Unique Reads	Duplicate Reads
ES51_Blue-024_Control-protein_21_2	8676104.0	29898151.0
ES52_SEM19-1481_MG-lipid_14_1	9414835.0	36067050.0
ES52_SEM19-1481_MG-lipid_14_2	11689486.0	33792399.0
ES53_SEM19-74_MG-protein_0_1	7927466.0	33590991.0
ES53_SEM19-74_MG-protein_0_2	9931445.0	31587012.0
ES54_SEM19-74_MG-protein_14_1	8213946.0	34771988.0
ES54_SEM19-74_MG-protein_14_2	9948033.0	33037901.0
ES55_SEM19-74_MG-protein_21_1	7831699.0	30542752.0
ES55_SEM19-74_MG-protein_21_2	9623514.0	28750937.0
ES56_Blue-050_Control-lipid_21_1	8815917.0	40192521.0
ES56_Blue-050_Control-lipid_21_2	11133488.0	37874950.0
ES57_Blue-031_MG-lipid_0_1	8314114.0	44586015.0
ES57_Blue-031_MG-lipid_0_2	10029551.0	42870578.0
ES58_Blue-032_MG-protein_0_1	9180782.0	41213943.0
ES58_Blue-032_MG-protein_0_2	11344261.0	39050464.0
ES59_Blue-032_MG-protein_14_1	9006867.0	38654150.0
ES59_Blue-032_MG-protein_14_2	11071330.0	36589687.0
ES5_164_Control-protein_14_1	8899725.0	33490568.0
ES5_164_Control-protein_14_2	10655165.0	31735128.0
ES60_Blue-032_MG-protein_21_1	8403835.0	34437745.0
ES60_Blue-032_MG-protein_21_2	10468663.0	32372917.0
ES61_Blue-035_MG-protein_0_1	8942019.0	30190298.0
ES61_Blue-035_MG-protein_0_2	10440223.0	28692094.0
ES62_Blue-035_MG-protein_14_1	9551723.0	35348727.0
ES62_Blue-035_MG-protein_14_2	11778016.0	33122434.0
ES63_Blue-035_MG-protein_21_1	9152154.0	32112316.0
ES63_Blue-035_MG-protein_21_2	11169178.0	30095292.0
ES64_SEM19-1481_MG-lipid_21_1	8973035.0	37705147.0
ES64_SEM19-1481_MG-lipid_21_2	10990667.0	35687515.0
ES65_106_NA_0_1	8300897.0	37614442.0
ES65_106_NA_0_2	10563642.0	35351697.0
ES66_617_Control-protein_14_1	7623142.0	35766109.0
ES66_617_Control-protein_14_2	9912249.0	33477002.0
ES67_Blue-037_MG-protein_0_1	9739485.0	33374560.0
ES67_Blue-037_MG-protein_0_2	11622795.0	31491250.0
ES68_Blue-037_MG-protein_14_1	9032385.0	29840881.0
ES68_Blue-037_MG-protein_14_2	11016242.0	27857024.0
ES69_Blue-037_MG-protein_21_1	9849391.0	31688923.0
ES69_Blue-037_MG-protein_21_2	11662434.0	29875880.0
ES6_164_Control-protein_21_1	9553454.0	32001115.0
ES6_164_Control-protein_21_2	11318268.0	30236301.0
