Sample	CDS_Exons	5'UTR_Exons	3'UTR_Exons	Introns	TSS_up_1kb	TSS_up_1kb-5kb	TSS_up_5kb-10kb	TES_down_1kb	TES_down_1kb-5kb	TES_down_5kb-10kb	Other_intergenic
ES41_Blue-013_Control-protein_0	68642466.0	5623690.0	16040985.0	6299815.0	170683.0	131783.0	61763.0	649944.0	856689.0	82074.0	1818896.0
ES42_Blue-013_Control-protein_14	58747993.0	4920381.0	15086512.0	7046641.0	173512.0	138441.0	65382.0	640608.0	876592.0	72938.0	1542734.0
ES43_Blue-013_Control-protein_21	65352360.0	5024589.0	16321251.0	6528259.0	157347.0	119226.0	56029.0	613024.0	747567.0	68617.0	1562837.0
ES44_Blue-015_MG-lipid_0	68146418.0	5891557.0	17139078.0	6557735.0	213463.0	142951.0	69373.0	787964.0	1091122.0	96345.0	1761132.0
ES45_Blue-015_MG-lipid_14	77308319.0	6534007.0	19268398.0	6814157.0	211428.0	130458.0	64871.0	939410.0	1241953.0	95513.0	1757995.0
ES46_Blue-015_MG-lipid_21	60880698.0	5157147.0	16570319.0	7210836.0	209857.0	159972.0	73824.0	771359.0	1016802.0	101245.0	1769077.0
ES47_Blue-45_MG-protein_0	58492396.0	4727092.0	15870690.0	6338428.0	192711.0	149322.0	64517.0	728092.0	942803.0	86282.0	1607750.0
ES48_Blue-45_MG-protein_14	62803650.0	5429451.0	16313417.0	5438533.0	199929.0	130012.0	56638.0	701235.0	913333.0	75723.0	1582722.0
ES49_Blue-024_Control-protein_0	62261094.0	5358647.0	14196564.0	5144576.0	143712.0	108221.0	53720.0	576223.0	766525.0	72210.0	1603606.0
ES4_164_Control-protein_0	63140541.0	5687696.0	14199908.0	4844631.0	136658.0	73791.0	36486.0	608647.0	830810.0	54885.0	1444076.0
ES50_Blue-024_Control-protein_14	53781291.0	5124479.0	12808602.0	4782936.0	138944.0	98669.0	47773.0	510621.0	655684.0	62296.0	1411273.0
ES51_Blue-024_Control-protein_21	52540146.0	4998183.0	12625211.0	4577620.0	142189.0	96935.0	44847.0	496094.0	628654.0	61794.0	1397603.0
ES52_SEM19-1481_MG-lipid_14	62177911.0	5325126.0	15112390.0	5795047.0	159213.0	118152.0	54800.0	605642.0	766275.0	73044.0	1570126.0
ES53_SEM19-74_MG-protein_0	59140408.0	5184629.0	13918184.0	4799992.0	143270.0	97075.0	48866.0	569728.0	783180.0	66856.0	1365798.0
ES54_SEM19-74_MG-protein_14	60358890.0	5499020.0	14487902.0	5176839.0	143466.0	103768.0	52201.0	576262.0	760645.0	74003.0	1468959.0
ES55_SEM19-74_MG-protein_21	51789777.0	4250879.0	13242968.0	4787679.0	134190.0	104367.0	48826.0	594873.0	815111.0	68787.0	1493465.0
ES56_Blue-050_Control-lipid_21	68854415.0	6153628.0	14272578.0	4996976.0	176512.0	131387.0	63513.0	635046.0	889171.0	71230.0	1620539.0
ES57_Blue-031_MG-lipid_0	77720831.0	6618434.0	16747788.0	6184977.0	187665.0	134230.0	65854.0	715146.0	1026082.0	87039.0	1798680.0
ES58_Blue-032_MG-protein_0	67461204.0	6122282.0	16425038.0	5891001.0	198818.0	138070.0	68244.0	731810.0	1065534.0	88622.0	1948331.0
ES59_Blue-032_MG-protein_14	65168469.0	6133475.0	15861741.0	5687750.0	190401.0	133474.0	67544.0	656324.0	867437.0	87168.0	1782926.0
ES5_164_Control-protein_14	58571243.0	4792983.0	14139340.0	5148941.0	140988.0	79881.0	39713.0	634570.0	851038.0	56691.0	1377210.0
ES60_Blue-032_MG-protein_21	57204492.0	5376214.0	14624103.0	5318082.0	161558.0	112072.0	57587.0	591055.0	759785.0	76288.0	1580304.0
ES61_Blue-035_MG-protein_0	53527446.0	4611797.0	13434527.0	5512951.0	157597.0	114036.0	50244.0	612068.0	791802.0	65497.0	1362968.0
ES62_Blue-035_MG-protein_14	60064349.0	5548285.0	15130283.0	5778095.0	169630.0	111301.0	48923.0	639683.0	828334.0	65442.0	1536496.0
ES63_Blue-035_MG-protein_21	55554061.0	4999102.0	13658621.0	5522838.0	172349.0	114140.0	48743.0	605421.0	825956.0	66477.0	1454122.0
ES64_SEM19-1481_MG-lipid_21	65209026.0	5926709.0	15043515.0	5577959.0	175422.0	121017.0	55179.0	626247.0	843117.0	69641.0	1611799.0
ES65_106_NA_0	63510376.0	5571604.0	14619992.0	5082743.0	177587.0	118132.0	59912.0	587788.0	776966.0	68354.0	1600783.0
ES66_617_Control-protein_14	59627748.0	5661719.0	14135938.0	4902211.0	147075.0	91420.0	43835.0	589349.0	825031.0	64583.0	1447112.0
ES67_Blue-037_MG-protein_0	55141631.0	4614735.0	14819239.0	5901380.0	163860.0	111066.0	50440.0	646371.0	855929.0	76663.0	1591556.0
ES68_Blue-037_MG-protein_14	50928549.0	4259622.0	13606407.0	5126166.0	154122.0	97090.0	43015.0	556670.0	711964.0	56372.0	1335896.0
ES69_Blue-037_MG-protein_21	53762643.0	4647392.0	14222292.0	5504258.0	160284.0	107262.0	48031.0	613489.0	801511.0	67629.0	1542439.0
