Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
ES15_601_Control-protein_14_1 - Adapter 1	9199312	2936461	645213	104041	26214	1754	514	419	598	657	677	343	319	381	329	339	360	274	245	288	217	207	239	217	229	170	183	175	186	111	120	114	107	93	80	78	63	36	38	21	53	11	23	35	22	31	117	79	85	2796
ES15_601_Control-protein_14_2 - Adapter 1	10120933	3258840	1028363	159429	55544	7303	1210	584	775	1142	1046	609	542	536	404	534	578	323	502	211	301	258	333	312	236	206	258	173	204	117	134	101	132	99	83	78	59	52	37	22	43	14	20	11	20	8	71	31	10	33
ES16_601_Control-protein_21_1 - Adapter 1	10066222	3296805	714278	113821	28238	1733	518	417	539	612	787	334	327	328	347	362	336	291	213	279	254	224	225	238	235	189	169	189	151	97	211	126	108	121	71	65	48	64	43	33	50	15	25	35	21	41	83	67	133	6344
ES16_601_Control-protein_21_2 - Adapter 1	11038344	3606680	1107076	170801	65023	7702	1346	552	817	1094	1206	547	558	501	406	532	538	309	470	213	325	293	332	347	226	236	218	169	167	164	173	113	144	86	83	72	64	66	43	36	60	16	38	18	23	24	49	16	14	92
ES17_615_Control-protein_0_1 - Adapter 1	9669770	2963090	647377	99101	26895	1717	482	409	613	608	563	305	348	314	280	303	356	243	232	251	240	215	207	216	198	164	177	161	162	139	170	125	120	98	81	71	62	36	23	29	38	14	38	39	24	57	141	128	191	7211
ES17_615_Control-protein_0_2 - Adapter 1	10808458	3478420	1029261	168144	59848	5023	1321	514	738	1046	938	534	524	507	328	485	519	247	476	200	275	286	282	331	222	195	205	150	175	192	120	127	97	93	74	76	56	40	26	35	38	25	17	11	20	15	48	27	29	118
ES18_615_Control-protein_14_1 - Adapter 1	9495351	2910224	645193	111255	28821	1861	625	548	661	699	759	373	412	399	374	367	416	301	288	343	316	208	283	290	222	225	186	210	202	172	120	157	109	108	78	71	59	33	42	52	50	21	26	46	33	66	167	190	319	17148
ES18_615_Control-protein_14_2 - Adapter 1	10218056	3235531	985200	165943	55019	5381	1610	723	910	1241	1078	654	695	620	456	555	675	279	609	229	350	325	339	414	270	264	279	212	192	173	117	129	130	89	70	67	60	51	46	32	34	22	19	12	33	4	51	23	13	151
ES19_615_Control-protein_21_1 - Adapter 1	9015745	2904250	630947	105938	26241	1752	547	463	750	690	865	437	417	472	381	467	516	390	317	354	353	301	315	310	298	236	255	223	197	145	227	190	157	125	121	81	69	77	58	65	75	38	41	111	52	72	277	365	1291	82292
ES19_615_Control-protein_21_2 - Adapter 1	10052786	3135982	964783	154546	53935	6709	1466	720	950	1176	1182	732	686	720	437	669	751	424	573	338	484	375	403	448	293	275	326	219	206	180	196	151	136	127	105	84	88	88	43	56	52	22	24	11	21	17	54	33	72	918
ES1_48_Control-lipid_0_1 - Adapter 1	10592970	3378712	730401	120121	31724	2241	616	534	770	833	933	455	449	508	409	403	482	377	331	381	353	266	352	310	267	272	239	241	215	174	390	186	173	121	131	88	78	73	47	66	101	82	136	467	158	210	5097	2838	1183	68559
