Sample	Reads passing filters
ES62_Blue-035_MG-protein_14_2	44900450.0
ES63_Blue-035_MG-protein_21_1	41264470.0
ES63_Blue-035_MG-protein_21_2	41264470.0
ES64_SEM19-1481_MG-lipid_21_1	46678182.0
ES64_SEM19-1481_MG-lipid_21_2	46678182.0
ES65_106_NA_0_1	45915339.0
ES65_106_NA_0_2	45915339.0
ES66_617_Control-protein_14_1	43389251.0
ES66_617_Control-protein_14_2	43389251.0
ES67_Blue-037_MG-protein_0_1	43114045.0
ES67_Blue-037_MG-protein_0_2	43114045.0
ES68_Blue-037_MG-protein_14_1	38873266.0
ES68_Blue-037_MG-protein_14_2	38873266.0
ES69_Blue-037_MG-protein_21_1	41538314.0
ES69_Blue-037_MG-protein_21_2	41538314.0
ES6_164_Control-protein_21_1	41554569.0
ES6_164_Control-protein_21_2	41554569.0
ES70_Blue-039_Control-lipid_0_1	55078029.0
ES70_Blue-039_Control-lipid_0_2	55078029.0
ES71_Blue-039_Control-lipid_14_1	39092259.0
ES71_Blue-039_Control-lipid_14_2	39092259.0
ES72_Blue-039_Control-lipid_21_1	43565736.0
ES72_Blue-039_Control-lipid_21_2	43565736.0
ES73_Blue-042_MG-protein_0_1	54067108.0
ES73_Blue-042_MG-protein_0_2	54067108.0
ES74_Blue-042_MG-protein_14_1	50856622.0
ES74_Blue-042_MG-protein_14_2	50856622.0
ES75_Blue-042_MG-protein_21_1	48752999.0
ES75_Blue-042_MG-protein_21_2	48752999.0
ES76_Blue-043_MG-lipid_0_1	41698955.0
ES76_Blue-043_MG-lipid_0_2	41698955.0
ES77_Blue-043_MG-lipid_14_1	46808497.0
ES77_Blue-043_MG-lipid_14_2	46808497.0
ES78_Blue-043_MG-lipid_21_1	50869044.0
ES78_Blue-043_MG-lipid_21_2	50869044.0
ES79_Blue-050_Control-lipid_0_1	39723303.0
ES79_Blue-050_Control-lipid_0_2	39723303.0
ES7_SEM19-1354_Control-protein_14_1	43586968.0
ES7_SEM19-1354_Control-protein_14_2	43586968.0
ES80_Blue-050_Control-lipid_14_1	42584696.0
ES80_Blue-050_Control-lipid_14_2	42584696.0
ES81_Blue-047_Control-lipid_0_1	45744603.0
ES81_Blue-047_Control-lipid_0_2	45744603.0
ES82_Blue-047_Control-lipid_14_1	30270088.0
ES82_Blue-047_Control-lipid_14_2	30270088.0
ES83_SEM19-1481_MG-lipid_0_1	47362824.0
ES83_SEM19-1481_MG-lipid_0_2	47362824.0
ES84_LD19-239_MG-lipid_0_1	46804558.0
ES84_LD19-239_MG-lipid_0_2	46804558.0
ES85_orange-24_Control-protein_0_1	45239225.0
ES85_orange-24_Control-protein_0_2	45239225.0
ES86_orange-24_Control-protein_14_1	35737652.0
ES86_orange-24_Control-protein_14_2	35737652.0
ES87_orange-24_Control-protein_21_1	44212800.0
ES87_orange-24_Control-protein_21_2	44212800.0
ES88_610_MG-protein_0_1	49105301.0
ES88_610_MG-protein_0_2	49105301.0
ES89_Blue-049_Control-protein_0_1	300810.0
ES89_Blue-049_Control-protein_0_2	300810.0
ES8_SEM19-1354_Control-protein_21_1	46215514.0
ES8_SEM19-1354_Control-protein_21_2	46215514.0
ES90_Blue-049_Control-protein_14_1	45021520.0
ES90_Blue-049_Control-protein_14_2	45021520.0
ES91_Blue-049_Control-protein_21_1	42838386.0
ES91_Blue-049_Control-protein_21_2	42838386.0
ES92_SEM19-76_MG-lipid_0_1	50014098.0
ES92_SEM19-76_MG-lipid_0_2	50014098.0
ES93_SEM19-76_MG-lipid_14_1	48222631.0
ES93_SEM19-76_MG-lipid_14_2	48222631.0
ES94_SEM19-76_MG-lipid_21_1	49787416.0
ES94_SEM19-76_MG-lipid_21_2	49787416.0
ES95_610_MG-protein_14_1	50223799.0
ES95_610_MG-protein_14_2	50223799.0
ES96_610_MG-protein_21_1	48710026.0
ES96_610_MG-protein_21_2	48710026.0
ES97_SEM19-107_MG-protein_0_1	47762041.0
ES97_SEM19-107_MG-protein_0_2	47762041.0
ES98_SEM19-107_MG-protein_14_1	56505354.0
ES98_SEM19-107_MG-protein_14_2	56505354.0
ES99_SEM19-107_MG-protein_21_1	46852208.0
ES99_SEM19-107_MG-protein_21_2	46852208.0
ES9_172_Control-protein_0_1	45596036.0
ES9_172_Control-protein_0_2	45596036.0
