Sample	Unique Reads	Duplicate Reads
ES51_Blue-024_Control-protein_21_2	8357051.0	29889206.0
ES52_SEM19-1481_MG-lipid_14_1	9516208.0	35492181.0
ES52_SEM19-1481_MG-lipid_14_2	11214532.0	33793857.0
ES53_SEM19-74_MG-protein_0_1	8022223.0	33089376.0
ES53_SEM19-74_MG-protein_0_2	9518253.0	31593346.0
ES54_SEM19-74_MG-protein_14_1	8338300.0	34274793.0
ES54_SEM19-74_MG-protein_14_2	9573000.0	33040093.0
ES55_SEM19-74_MG-protein_21_1	7881203.0	30104297.0
ES55_SEM19-74_MG-protein_21_2	9224399.0	28761101.0
ES56_Blue-050_Control-lipid_21_1	8907229.0	39631872.0
ES56_Blue-050_Control-lipid_21_2	10615506.0	37923595.0
ES57_Blue-031_MG-lipid_0_1	8451993.0	44149517.0
ES57_Blue-031_MG-lipid_0_2	9771922.0	42829588.0
ES58_Blue-032_MG-protein_0_1	9298314.0	40625835.0
ES58_Blue-032_MG-protein_0_2	10844847.0	39079302.0
ES59_Blue-032_MG-protein_14_1	9105946.0	38073652.0
ES59_Blue-032_MG-protein_14_2	10599817.0	36579781.0
ES5_164_Control-protein_14_1	9015913.0	33000483.0
ES5_164_Control-protein_14_2	10284704.0	31731692.0
ES60_Blue-032_MG-protein_21_1	8511230.0	33912236.0
ES60_Blue-032_MG-protein_21_2	10037707.0	32385759.0
ES61_Blue-035_MG-protein_0_1	9048220.0	29785608.0
ES61_Blue-035_MG-protein_0_2	10182506.0	28651322.0
ES62_Blue-035_MG-protein_14_1	9681631.0	34779629.0
ES62_Blue-035_MG-protein_14_2	11300268.0	33160992.0
ES63_Blue-035_MG-protein_21_1	9260055.0	31664783.0
ES63_Blue-035_MG-protein_21_2	10828811.0	30096027.0
ES64_SEM19-1481_MG-lipid_21_1	9089729.0	37198723.0
ES64_SEM19-1481_MG-lipid_21_2	10645474.0	35642978.0
ES65_106_NA_0_1	8407917.0	37026548.0
ES65_106_NA_0_2	10042071.0	35392394.0
ES66_617_Control-protein_14_1	7700708.0	35194093.0
ES66_617_Control-protein_14_2	9407097.0	33487704.0
ES67_Blue-037_MG-protein_0_1	9842930.0	32822415.0
ES67_Blue-037_MG-protein_0_2	11148087.0	31517258.0
ES68_Blue-037_MG-protein_14_1	9112169.0	29337607.0
ES68_Blue-037_MG-protein_14_2	10557987.0	27891789.0
ES69_Blue-037_MG-protein_21_1	9963390.0	31210005.0
ES69_Blue-037_MG-protein_21_2	11259229.0	29914166.0
ES6_164_Control-protein_21_1	9680110.0	31536754.0
ES6_164_Control-protein_21_2	11040508.0	30176356.0
ES70_Blue-039_Control-lipid_0_1	9750354.0	44901509.0
ES70_Blue-039_Control-lipid_0_2	11319870.0	43331993.0
ES71_Blue-039_Control-lipid_14_1	7858098.0	30918707.0
ES71_Blue-039_Control-lipid_14_2	8989702.0	29787103.0
ES72_Blue-039_Control-lipid_21_1	8200692.0	34882327.0
ES72_Blue-039_Control-lipid_21_2	9974925.0	33108094.0
ES73_Blue-042_MG-protein_0_1	9105832.0	44425772.0
ES73_Blue-042_MG-protein_0_2	11006529.0	42525075.0
ES74_Blue-042_MG-protein_14_1	9517004.0	40805126.0
ES74_Blue-042_MG-protein_14_2	11658731.0	38663399.0
ES75_Blue-042_MG-protein_21_1	8493435.0	39875420.0
ES75_Blue-042_MG-protein_21_2	9904640.0	38464215.0
ES76_Blue-043_MG-lipid_0_1	9245067.0	32095398.0
ES76_Blue-043_MG-lipid_0_2	10376554.0	30963911.0
ES77_Blue-043_MG-lipid_14_1	10834935.0	35583797.0
ES77_Blue-043_MG-lipid_14_2	11864326.0	34554406.0
ES78_Blue-043_MG-lipid_21_1	11520774.0	38999810.0
ES78_Blue-043_MG-lipid_21_2	12607717.0	37912867.0
ES79_Blue-050_Control-lipid_0_1	8578658.0	30763427.0
ES79_Blue-050_Control-lipid_0_2	10078251.0	29263834.0
ES7_SEM19-1354_Control-protein_14_1	8926955.0	34357001.0
ES7_SEM19-1354_Control-protein_14_2	9890558.0	33393398.0
ES80_Blue-050_Control-lipid_14_1	8090685.0	34108879.0
ES80_Blue-050_Control-lipid_14_2	9799187.0	32400377.0
ES81_Blue-047_Control-lipid_0_1	8216430.0	37050236.0
ES81_Blue-047_Control-lipid_0_2	9971197.0	35295469.0
ES82_Blue-047_Control-lipid_14_1	5539700.0	24398282.0
ES82_Blue-047_Control-lipid_14_2	6880437.0	23057545.0
ES83_SEM19-1481_MG-lipid_0_1	9212993.0	37715302.0
ES83_SEM19-1481_MG-lipid_0_2	10575996.0	36352299.0
ES84_LD19-239_MG-lipid_0_1	9535683.0	36850282.0
ES84_LD19-239_MG-lipid_0_2	11058493.0	35327472.0
ES85_orange-24_Control-protein_0_1	9269048.0	35655407.0
ES85_orange-24_Control-protein_0_2	10270715.0	34653740.0
ES86_orange-24_Control-protein_14_1	7388728.0	28090871.0
ES86_orange-24_Control-protein_14_2	8231824.0	27247775.0
ES87_orange-24_Control-protein_21_1	8715426.0	34999832.0
ES87_orange-24_Control-protein_21_2	9804295.0	33910963.0
ES88_610_MG-protein_0_1	9214429.0	39627272.0
ES88_610_MG-protein_0_2	10316521.0	38525180.0
ES89_Blue-049_Control-protein_0_1	40135.0	70748.0
ES89_Blue-049_Control-protein_0_2	43365.0	67518.0
ES8_SEM19-1354_Control-protein_21_1	9526925.0	36296146.0
ES8_SEM19-1354_Control-protein_21_2	10847480.0	34975591.0
ES90_Blue-049_Control-protein_14_1	8267940.0	36232209.0
ES90_Blue-049_Control-protein_14_2	9897695.0	34602454.0
ES91_Blue-049_Control-protein_21_1	7938989.0	34469951.0
ES91_Blue-049_Control-protein_21_2	9372413.0	33036527.0
ES92_SEM19-76_MG-lipid_0_1	8430244.0	40986240.0
ES92_SEM19-76_MG-lipid_0_2	10337276.0	39079208.0
ES93_SEM19-76_MG-lipid_14_1	9178350.0	38632137.0
ES93_SEM19-76_MG-lipid_14_2	10693837.0	37116650.0
ES94_SEM19-76_MG-lipid_21_1	8939211.0	40350699.0
ES94_SEM19-76_MG-lipid_21_2	10514106.0	38775804.0
ES95_610_MG-protein_14_1	9954456.0	39849985.0
ES95_610_MG-protein_14_2	11731987.0	38072454.0
ES96_610_MG-protein_21_1	10364971.0	37821994.0
ES96_610_MG-protein_21_2	12177623.0	36009342.0
ES97_SEM19-107_MG-protein_0_1	10261538.0	37249167.0
ES97_SEM19-107_MG-protein_0_2	11155660.0	36355045.0
ES98_SEM19-107_MG-protein_14_1	12730243.0	43519703.0
ES98_SEM19-107_MG-protein_14_2	13554015.0	42695931.0
ES99_SEM19-107_MG-protein_21_1	10570239.0	36017165.0
ES99_SEM19-107_MG-protein_21_2	11519605.0	35067799.0
ES9_172_Control-protein_0_1	9032874.0	36218072.0
ES9_172_Control-protein_0_2	10238582.0	35012364.0
