Sample	Top over-represented sequence	Sum of remaining over-represented sequences
ES100_SEM19-140_Control-lipid_0_1	1.2638855076738806	11.455077113173127
ES100_SEM19-140_Control-lipid_0_2	0.8995929439208653	11.749270896266603
ES101_SEM19-140_Control-lipid_14_1	1.9007402252216532	12.430974549970411
ES101_SEM19-140_Control-lipid_14_2	1.2829379497245705	13.160217809002852
ES102_SEM19-140_Control-lipid_21_1	1.3810631102342918	10.123126276100114
ES102_SEM19-140_Control-lipid_21_2	0.8249034959019489	10.516148504632778
ES103_625_Control-lipid_0_1	1.469642221721714	7.530241388875624
ES103_625_Control-lipid_0_2	0.7494281279750018	8.683596634532273
ES104_625_Control-lipid_14_1	1.3945445902322502	7.981845244333476
ES104_625_Control-lipid_14_2	0.7831798798951665	8.644184604136775
ES105_625_Control-lipid_21_1	0.5041710632913748	7.288577281055299
ES105_625_Control-lipid_21_2	0.8287420244817323	9.381902847499536
ES10_172_Control-protein_14_1	1.3667821524398693	12.264788089597953
ES10_172_Control-protein_14_2	0.9412658629066855	12.270018768234133
ES11_172_Control-protein_21_1	1.6395857583055662	13.196466742775057
ES11_172_Control-protein_21_2	0.9217418709913358	12.974147959333786
ES12_209_MG-lipid_0_1	0.920483758611543	15.913499081518061
ES12_209_MG-lipid_0_2	1.0970157393841586	15.626716214284361
ES13_209_MG-lipid_14_1	0.7082888841342738	8.596831554989421
ES13_209_MG-lipid_14_2	0.8515302485275893	8.76399591065976
ES14_209_MG-lipid_21_1	0.9311226407701094	14.579492294255317
ES14_209_MG-lipid_21_2	0.9773719460845326	13.920744653149136
ES15_601_Control-protein_14_1	1.1091316268683524	11.85520606068975
ES15_601_Control-protein_14_2	0.9262855590442327	12.064542329106029
ES16_601_Control-protein_21_1	1.0146365790311398	12.288251443602544
ES16_601_Control-protein_21_2	0.8455298012399066	12.503156994363556
ES17_615_Control-protein_0_1	0.9797845570590848	14.247558048794092
ES17_615_Control-protein_0_2	1.052702229746468	14.905454711034704
ES18_615_Control-protein_14_1	0.9220921060168786	6.646034760007367
ES18_615_Control-protein_14_2	0.7305192470452603	7.036922236951832
ES19_615_Control-protein_21_1	1.491580854276801	9.537422495089748
ES19_615_Control-protein_21_2	0.7408383176688228	9.94777146279763
ES1_48_Control-lipid_0_1	0.9946528639361404	10.043132912355464
ES1_48_Control-lipid_0_2	0.8796087717024769	10.48873378973813
ES20_618_Control-lipid_0_1	0.745608950584368	14.922753898700645
ES20_618_Control-lipid_0_2	1.1026639498820576	15.397620662961405
ES21_618_Control-lipid_14_1	0.958261638017081	13.86818854005118
ES21_618_Control-lipid_14_2	1.0918032070004533	14.50068447683104
ES22_618_Control-lipid_21_1	1.3772360304435567	12.217892452009211
ES22_618_Control-lipid_21_2	0.9710203926226546	12.905160827664528
ES23_Blue-010_Control-lipid_0_1	0.8686449211035806	8.964032190495502
ES23_Blue-010_Control-lipid_0_2	0.8132027413242182	10.03965617231934
ES24_Blue-010_Control-lipid_21_1	0.7283922678822475	10.970202908213622
ES24_Blue-010_Control-lipid_21_2	1.033959562721356	11.497551330644615
ES25_619_MG-lipid_0_1	1.03000337165398	16.279657293547118
ES25_619_MG-lipid_0_2	1.0528344022317515	16.468618046326053
ES26_619_MG-lipid_14_1	1.2426051145228587	12.135831036220017
ES26_619_MG-lipid_14_2	0.9030043310431779	12.261457903954524
ES27_619_MG-lipid_21_1	1.1343194939163608	11.591064861568245
ES27_619_MG-lipid_21_2	0.7373522563663502	11.839303919296528
ES28_Blue-098_Control-lipid_0_1	0.6059683578602131	6.986085129560331
ES28_Blue-098_Control-lipid_0_2	0.7466676165226842	7.6022326145365255
ES29_Blue-098_Control-lipid_14_1	0.7215887507021633	7.25850685264878
ES29_Blue-098_Control-lipid_14_2	0.7183973821879175	9.065105279392325
ES2_48_Control-lipid_14_1	0.981425983554782	13.290146723698518
ES2_48_Control-lipid_14_2	1.068988919003671	12.91629572968824
ES30_Blue-098_Control-lipid_21_1	0.9299152190960722	8.571139390415238
ES30_Blue-098_Control-lipid_21_2	0.7439209605007173	8.843007993612062
ES31_Blue-055_NA_0_1	0.6394560060269757	14.48181571400476
ES31_Blue-055_NA_0_2	1.1010873791692997	14.612144598130282
ES32_Blue-055_NA_14_1	0.6673659945823285	10.46924614489294
ES32_Blue-055_NA_14_2	0.8326572050970519	11.009410451912474
ES33_101-LS_MG-lipid_0_1	0.9209927148059117	14.652421211569965
ES33_101-LS_MG-lipid_0_2	1.0573370614429094	15.109787060396984
ES34_101-LS_MG-lipid_14_1	0.7012023260401715	11.148573554068204
ES34_101-LS_MG-lipid_14_2	0.8468824208754747	12.064640584145252
ES35_101-LS_MG-lipid_21_1	1.1813474775361423	11.638382761260594
ES35_101-LS_MG-lipid_21_2	0.8996819289849378	11.925089574956603
ES36_AR17-21_MG-lipid_0_1	0.8275416277417418	13.594313676885665
ES36_AR17-21_MG-lipid_0_2	0.9979294748616143	13.122156652506987
ES37_AR17-21_MG-lipid_14_1	0.9680204748956576	10.715212576825225
ES37_AR17-21_MG-lipid_14_2	0.8634239811831921	10.990137742535007
ES38_AR17-21_MG-lipid_21_1	1.1586540041090685	10.160029207405977
ES38_AR17-21_MG-lipid_21_2	0.800984492269101	10.31759044004273
ES39_LD19-239_MG-lipid_14_1	0.8544067232543963	6.121640606378316
ES39_LD19-239_MG-lipid_14_2	0.6434034965542529	6.4361574922709925
ES3_48_Control-lipid_21_1	1.010228315908811	12.452871652199162
ES3_48_Control-lipid_21_2	0.9183200164143998	12.960139340602396
