Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	5_3_bias	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon
ES32_Blue-055_NA_14	ES32_Blue-055_NA_14.sorted.bam	42227894.0	92944649.0	12621329.0	70142422.0	17011.0	10946245.0	1.36	70142422.0	6804444.0	3298285.0	1083993.0
ES33_101-LS_MG-lipid_0	ES33_101-LS_MG-lipid_0.sorted.bam	43516955.0	95553822.0	12463732.0	72068830.0	17315.0	8705803.0	1.34	72068830.0	7569892.0	3389229.0	1101918.0
ES34_101-LS_MG-lipid_14	ES34_101-LS_MG-lipid_14.sorted.bam	40737754.0	88479069.0	10563865.0	67071615.0	18081.0	8251324.0	1.42	67071615.0	7439083.0	3347645.0	1093559.0
ES35_101-LS_MG-lipid_21	ES35_101-LS_MG-lipid_21.sorted.bam	40505696.0	90193214.0	12922666.0	65987513.0	14806.0	9088581.0	1.41	65987513.0	7756998.0	3464369.0	1062197.0
ES36_AR17-21_MG-lipid_0	ES36_AR17-21_MG-lipid_0.sorted.bam	37450279.0	82390501.0	10839607.0	62692614.0	18917.0	9273881.0	1.39	62692614.0	5983135.0	2823887.0	900694.0
ES37_AR17-21_MG-lipid_14	ES37_AR17-21_MG-lipid_14.sorted.bam	41622747.0	91223789.0	11537241.0	69313141.0	23903.0	11224861.0	1.39	69313141.0	7052922.0	3261537.0	1003982.0
ES38_AR17-21_MG-lipid_21	ES38_AR17-21_MG-lipid_21.sorted.bam	38230585.0	84384965.0	11305819.0	62909771.0	21911.0	10595962.0	1.38	62909771.0	6889462.0	3216855.0	986458.0
ES39_LD19-239_MG-lipid_14	ES39_LD19-239_MG-lipid_14.sorted.bam	39921473.0	87306973.0	10904190.0	64997348.0	9699.0	10623642.0	1.45	64997348.0	7901872.0	3457120.0	1084527.0
ES3_48_Control-lipid_21	ES3_48_Control-lipid_21.sorted.bam	37353160.0	82463761.0	11141467.0	61989714.0	13909.0	9422920.0	1.42	61989714.0	6457378.0	2834404.0	947479.0
ES40_LD19-239_MG-lipid_21	ES40_LD19-239_MG-lipid_21.sorted.bam	46729240.0	102364016.0	13157512.0	76320157.0	11153.0	11690867.0	1.41	76320157.0	8939151.0	3892364.0	1289808.0
ES41_Blue-013_Control-protein_0	ES41_Blue-013_Control-protein_0.sorted.bam	43336203.0	97312790.0	14736510.0	70896134.0	12711.0	11429057.0	1.32	70896134.0	8262505.0	3348037.0	1156854.0
ES42_Blue-013_Control-protein_14	ES42_Blue-013_Control-protein_14.sorted.bam	38767209.0	85799075.0	12046878.0	61427211.0	12594.0	9339098.0	1.38	61427211.0	9074764.0	3207420.0	1146268.0
ES43_Blue-013_Control-protein_21	ES43_Blue-013_Control-protein_21.sorted.bam	41691794.0	91529491.0	11741370.0	68212565.0	12852.0	9727680.0	1.41	68212565.0	8484121.0	3052608.0	1093726.0
ES44_Blue-015_MG-lipid_0	ES44_Blue-015_MG-lipid_0.sorted.bam	44133628.0	96422043.0	12114338.0	71674906.0	17814.0	10139346.0	1.35	71674906.0	8660023.0	3905742.0	1198811.0
ES45_Blue-015_MG-lipid_14	ES45_Blue-015_MG-lipid_14.sorted.bam	49494023.0	107750481.0	13552058.0	81167777.0	17419.0	8542582.0	1.4	81167777.0	8956414.0	4011229.0	1250682.0
ES46_Blue-015_MG-lipid_21	ES46_Blue-015_MG-lipid_21.sorted.bam	40870966.0	89408340.0	11272152.0	64739300.0	14656.0	10020277.0	1.39	64739300.0	9391228.0	3949239.0	1204858.0
ES47_Blue-45_MG-protein_0	ES47_Blue-45_MG-protein_0.sorted.bam	38717240.0	83781425.0	9585191.0	62140999.0	22420.0	8439605.0	1.4	62140999.0	8334794.0	3652628.0	1137649.0
ES48_Blue-45_MG-protein_14	ES48_Blue-45_MG-protein_14.sorted.bam	40376600.0	87348356.0	10072782.0	66357737.0	25699.0	9750156.0	1.36	66357737.0	7368907.0	3486647.0	1115571.0
ES49_Blue-024_Control-protein_0	ES49_Blue-024_Control-protein_0.sorted.bam	38892659.0	87338463.0	13238630.0	64580358.0	14987.0	10407956.0	1.37	64580358.0	6674838.0	2783592.0	920784.0
ES4_164_Control-protein_0	ES4_164_Control-protein_0.sorted.bam	39313000.0	88365081.0	13635172.0	65407689.0	10416.0	10662565.0	1.38	65407689.0	6526269.0	2755185.0	976191.0
ES50_Blue-024_Control-protein_14	ES50_Blue-024_Control-protein_14.sorted.bam	34290279.0	76478129.0	10883543.0	56658265.0	15443.0	10111656.0	1.41	56658265.0	6335840.0	2549812.0	889453.0
ES51_Blue-024_Control-protein_21	ES51_Blue-024_Control-protein_21.sorted.bam	33534994.0	75000053.0	10879164.0	55454082.0	18556.0	9354873.0	1.4	55454082.0	6109254.0	2506413.0	867036.0
ES52_SEM19-1481_MG-lipid_14	ES52_SEM19-1481_MG-lipid_14.sorted.bam	39714484.0	88046429.0	12291248.0	65093676.0	16125.0	10486221.0	1.44	65093676.0	7611453.0	2992770.0	1031795.0
ES53_SEM19-74_MG-protein_0	ES53_SEM19-74_MG-protein_0.sorted.bam	37063544.0	80727336.0	9774137.0	61710460.0	11066.0	8018323.0	1.36	61710460.0	6363355.0	2833195.0	914222.0
ES54_SEM19-74_MG-protein_14	ES54_SEM19-74_MG-protein_14.sorted.bam	38274649.0	84255638.0	11073249.0	63494251.0	9874.0	8598363.0	1.39	63494251.0	6805985.0	2839374.0	926713.0
ES55_SEM19-74_MG-protein_21	ES55_SEM19-74_MG-protein_21.sorted.bam	33372415.0	76442970.0	13343921.0	54148352.0	9390.0	9142303.0	1.37	54148352.0	6212363.0	2699839.0	833000.0
ES56_Blue-050_Control-lipid_21	ES56_Blue-050_Control-lipid_21.sorted.bam	41967163.0	92082877.0	11990402.0	69911185.0	9141.0	13057258.0	1.32	69911185.0	7003715.0	3132404.0	1177128.0
ES57_Blue-031_MG-lipid_0	ES57_Blue-031_MG-lipid_0.sorted.bam	47745013.0	104290824.0	13063106.0	79427954.0	15682.0	9655858.0	1.35	79427954.0	8172989.0	3559475.0	1188148.0
ES58_Blue-032_MG-protein_0	ES58_Blue-032_MG-protein_0.sorted.bam	43262804.0	98738327.0	16668751.0	70518971.0	19245.0	13226663.0	1.38	70518971.0	7849445.0	3625772.0	1134290.0
ES59_Blue-032_MG-protein_14	ES59_Blue-032_MG-protein_14.sorted.bam	41638575.0	92039574.0	12305911.0	68595238.0	15570.0	10978139.0	1.41	68595238.0	7610629.0	3462524.0	1088744.0
ES5_164_Control-protein_14	ES5_164_Control-protein_14.sorted.bam	37033506.0	81444006.0	10878227.0	60817121.0	12295.0	9900575.0	1.36	60817121.0	6821780.0	2881506.0	990716.0
ES60_Blue-032_MG-protein_21	ES60_Blue-032_MG-protein_21.sorted.bam	37110599.0	82009512.0	10844728.0	60943808.0	15431.0	10541449.0	1.39	60943808.0	7085275.0	3073395.0	978153.0
ES61_Blue-035_MG-protein_0	ES61_Blue-035_MG-protein_0.sorted.bam	34738109.0	75558463.0	9068824.0	56280074.0	11042.0	8134749.0	1.43	56280074.0	7212310.0	2951563.0	970748.0
ES62_Blue-035_MG-protein_14	ES62_Blue-035_MG-protein_14.sorted.bam	38948952.0	85520472.0	10954683.0	63642761.0	13940.0	10941079.0	1.33	63642761.0	7704554.0	3173334.0	1070647.0
ES63_Blue-035_MG-protein_21	ES63_Blue-035_MG-protein_21.sorted.bam	35919117.0	78249643.0	9458787.0	58247962.0	13217.0	9954626.0	1.3	58247962.0	7358178.0	3138369.0	1062788.0
ES64_SEM19-1481_MG-lipid_21	ES64_SEM19-1481_MG-lipid_21.sorted.bam	41236372.0	91876984.0	13599287.0	67721766.0	18157.0	10025039.0	1.4	67721766.0	7426130.0	3073953.0	1068993.0
ES65_106_NA_0	ES65_106_NA_0.sorted.bam	39670056.0	87781786.0	11980530.0	65852441.0	13599.0	11433574.0	1.38	65852441.0	6809248.0	3083241.0	1010216.0
ES66_617_Control-protein_14	ES66_617_Control-protein_14.sorted.bam	37809628.0	84633736.0	12629165.0	62629546.0	12118.0	10067700.0	1.36	62629546.0	6540825.0	2786642.0	950819.0
ES67_Blue-037_MG-protein_0	ES67_Blue-037_MG-protein_0.sorted.bam	36438499.0	81697340.0	12189633.0	58355163.0	13161.0	12364102.0	1.43	58355163.0	7873771.0	3225959.0	1062270.0
ES68_Blue-037_MG-protein_14	ES68_Blue-037_MG-protein_14.sorted.bam	33250088.0	73619093.0	10029594.0	53867477.0	13198.0	10318794.0	1.39	53867477.0	6888907.0	2792630.0	943918.0
ES69_Blue-037_MG-protein_21	ES69_Blue-037_MG-protein_21.sorted.bam	35318035.0	78707627.0	11349667.0	56621453.0	11793.0	11646041.0	1.37	56621453.0	7504342.0	3182492.0	1086438.0
ES6_164_Control-protein_21	ES6_164_Control-protein_21.sorted.bam	36037342.0	78865426.0	9895973.0	58467714.0	13319.0	10292553.0	1.4	58467714.0	7443875.0	3009549.0	1028837.0
ES70_Blue-039_Control-lipid_0	ES70_Blue-039_Control-lipid_0.sorted.bam	48220455.0	106944259.0	15016258.0	79048806.0	17136.0	12780032.0	1.39	79048806.0	8800420.0	4001191.0	1295443.0
ES71_Blue-039_Control-lipid_14	ES71_Blue-039_Control-lipid_14.sorted.bam	34153130.0	75720697.0	10478030.0	56067195.0	10272.0	9184508.0	1.43	56067195.0	6426487.0	2695620.0	886215.0
ES72_Blue-039_Control-lipid_21	ES72_Blue-039_Control-lipid_21.sorted.bam	37257927.0	83761783.0	12754433.0	61426460.0	12414.0	11559638.0	1.43	61426460.0	6642720.0	2885507.0	955824.0
ES73_Blue-042_MG-protein_0	ES73_Blue-042_MG-protein_0.sorted.bam	47232084.0	104503490.0	14396482.0	77682705.0	28076.0	12489126.0	1.36	77682705.0	8641957.0	3705251.0	1254010.0
ES74_Blue-042_MG-protein_14	ES74_Blue-042_MG-protein_14.sorted.bam	44121547.0	98087064.0	13801572.0	71271040.0	22597.0	12292451.0	1.33	71271040.0	9094867.0	3851328.0	1247957.0
ES75_Blue-042_MG-protein_21	ES75_Blue-042_MG-protein_21.sorted.bam	43017130.0	95426962.0	13260369.0	71753248.0	22589.0	10629472.0	1.32	71753248.0	7116509.0	3235408.0	1064083.0
ES76_Blue-043_MG-lipid_0	ES76_Blue-043_MG-lipid_0.sorted.bam	36367044.0	80898008.0	11399438.0	58563252.0	16301.0	9870013.0	1.33	58563252.0	7780487.0	3108041.0	1066158.0
ES77_Blue-043_MG-lipid_14	ES77_Blue-043_MG-lipid_14.sorted.bam	41122585.0	90220544.0	11663841.0	65605779.0	20872.0	10510702.0	1.35	65605779.0	9195103.0	3703526.0	1249460.0
ES78_Blue-043_MG-lipid_21	ES78_Blue-043_MG-lipid_21.sorted.bam	44751183.0	98245471.0	12708066.0	71189094.0	19956.0	11469021.0	1.34	71189094.0	10125938.0	4158309.0	1370333.0
