Sample	5.0	10.0	15.0	20.0	25.0	30.0	35.0	40.0	45.0	50.0	55.0	60.0	65.0	70.0	75.0	80.0	85.0	90.0	95.0	100.0
ES100_SEM19-140_Control-lipid_0	51980.0	67092.0	76487.0	83407.0	88833.0	93172.0	97002.0	100158.0	103056.0	105513.0	107853.0	109849.0	111697.0	113379.0	114973.0	116431.0	117800.0	119031.0	120147.0	121222.0
ES101_SEM19-140_Control-lipid_14	51073.0	66081.0	75593.0	82570.0	88152.0	92822.0	96843.0	100338.0	103420.0	106156.0	108650.0	110816.0	112851.0	114681.0	116503.0	118135.0	119644.0	121019.0	122421.0	123671.0
ES102_SEM19-140_Control-lipid_21	54427.0	70256.0	80076.0	87321.0	93217.0	98096.0	102304.0	105885.0	109129.0	111984.0	114570.0	116826.0	119058.0	121145.0	123056.0	124818.0	126450.0	128024.0	129423.0	130770.0
ES103_625_Control-lipid_0	56240.0	71560.0	81400.0	88677.0	94563.0	99228.0	103418.0	107011.0	110285.0	113144.0	115763.0	118250.0	120407.0	122407.0	124371.0	126106.0	127735.0	129231.0	130730.0	132088.0
ES104_625_Control-lipid_14	50278.0	64080.0	73029.0	79558.0	84766.0	89116.0	93001.0	96402.0	99491.0	102233.0	104615.0	106779.0	108830.0	110713.0	112536.0	114233.0	115778.0	117204.0	118584.0	119942.0
ES105_625_Control-lipid_21	57613.0	73414.0	83446.0	90773.0	96680.0	101616.0	105880.0	109580.0	112902.0	115915.0	118627.0	121091.0	123319.0	125442.0	127416.0	129182.0	130842.0	132463.0	134021.0	135409.0
ES10_172_Control-protein_14	52914.0	68629.0	78452.0	85693.0	91461.0	96104.0	100018.0	103403.0	106483.0	109172.0	111637.0	113889.0	116048.0	117913.0	119613.0	121200.0	122784.0	124162.0	125544.0	126893.0
ES11_172_Control-protein_21	54916.0	70471.0	80274.0	87303.0	93028.0	97767.0	101745.0	105330.0	108403.0	111103.0	113557.0	115788.0	117866.0	119822.0	121611.0	123266.0	124827.0	126236.0	127551.0	128791.0
ES12_209_MG-lipid_0	55475.0	70692.0	80070.0	86886.0	92088.0	96477.0	100079.0	103399.0	106220.0	108761.0	111056.0	113125.0	115027.0	116792.0	118362.0	119872.0	121272.0	122544.0	123781.0	124969.0
ES13_209_MG-lipid_14	54556.0	69197.0	78294.0	84856.0	90016.0	94251.0	97886.0	101171.0	104121.0	106645.0	108973.0	111093.0	113018.0	114799.0	116452.0	118039.0	119493.0	120812.0	122089.0	123307.0
ES14_209_MG-lipid_21	49220.0	63337.0	71949.0	78404.0	83564.0	87776.0	91380.0	94586.0	97463.0	99877.0	102201.0	104234.0	106100.0	107789.0	109413.0	111013.0	112411.0	113678.0	114959.0	116183.0
ES15_601_Control-protein_14	54466.0	70809.0	80852.0	88172.0	94136.0	99052.0	103221.0	106852.0	110111.0	112899.0	115506.0	117914.0	119941.0	121913.0	123744.0	125426.0	127064.0	128504.0	129900.0	131250.0
ES16_601_Control-protein_21	54803.0	70477.0	80526.0	87942.0	93821.0	98621.0	102789.0	106458.0	109807.0	112801.0	115439.0	117902.0	120054.0	122047.0	123964.0	125765.0	127419.0	128977.0	130439.0	131813.0
ES17_615_Control-protein_0	54736.0	70406.0	79953.0	86995.0	92484.0	97105.0	100968.0	104340.0	107264.0	109872.0	112216.0	114276.0	116249.0	117964.0	119625.0	121156.0	122613.0	123984.0	125278.0	126394.0
ES18_615_Control-protein_14	58159.0	73946.0	83653.0	90696.0	96283.0	100717.0	104603.0	108066.0	111125.0	113820.0	116293.0	118463.0	120498.0	122405.0	124236.0	125850.0	127366.0	128763.0	130074.0	131291.0
ES19_615_Control-protein_21	55933.0	72339.0	82695.0	90150.0	96176.0	100983.0	105120.0	108651.0	111793.0	114580.0	117176.0	119467.0	121623.0	123523.0	125378.0	127054.0	128611.0	130100.0	131431.0	132773.0
ES1_48_Control-lipid_0	58228.0	74438.0	84824.0	92364.0	98396.0	103451.0	107726.0	111453.0	114887.0	117880.0	120599.0	123089.0	125289.0	127299.0	129210.0	131081.0	132770.0	134368.0	135834.0	137233.0
ES20_618_Control-lipid_0	55783.0	72156.0	82549.0	90051.0	96162.0	101150.0	105312.0	108840.0	112034.0	114938.0	117591.0	119973.0	122161.0	124166.0	126042.0	127740.0	129262.0	130753.0	132104.0	133417.0
ES21_618_Control-lipid_14	48036.0	63011.0	72438.0	79183.0	84505.0	88993.0	92526.0	95773.0	98503.0	100959.0	103094.0	105088.0	106999.0	108611.0	110067.0	111505.0	112841.0	114089.0	115176.0	116301.0
ES22_618_Control-lipid_21	55212.0	71403.0	81412.0	88881.0	94783.0	99651.0	103775.0	107337.0	110504.0	113394.0	116080.0	118444.0	120629.0	122645.0	124553.0	126310.0	127971.0	129531.0	131007.0	132341.0
ES23_Blue-010_Control-lipid_0	56314.0	72255.0	82197.0	89374.0	95098.0	99853.0	103916.0	107439.0	110490.0	113295.0	115776.0	118150.0	120323.0	122281.0	124119.0	125822.0	127322.0	128716.0	130052.0	131376.0
ES24_Blue-010_Control-lipid_21	55904.0	71188.0	80621.0	87576.0	92939.0	97501.0	101416.0	104806.0	107819.0	110552.0	113007.0	115217.0	117277.0	119188.0	120934.0	122498.0	123989.0	125394.0	126734.0	127925.0
ES25_619_MG-lipid_0	51844.0	66939.0	76126.0	83005.0	88339.0	92859.0	96723.0	100067.0	102967.0	105585.0	107943.0	110058.0	112107.0	114002.0	115766.0	117271.0	118742.0	120011.0	121320.0	122524.0
ES26_619_MG-lipid_14	53194.0	68051.0	77649.0	84817.0	90353.0	95082.0	98983.0	102448.0	105483.0	108191.0	110661.0	112879.0	114961.0	116895.0	118696.0	120414.0	121936.0	123389.0	124724.0	126075.0
ES27_619_MG-lipid_21	54174.0	69309.0	78755.0	85680.0	91168.0	95524.0	99213.0	102518.0	105384.0	107858.0	110101.0	112081.0	113867.0	115496.0	117063.0	118489.0	119758.0	120932.0	122041.0	123109.0
ES28_Blue-098_Control-lipid_0	58676.0	74669.0	84727.0	92131.0	98431.0	103592.0	107998.0	111764.0	115301.0	118441.0	121298.0	123910.0	126390.0	128667.0	130684.0	132578.0	134376.0	136066.0	137629.0	139072.0
ES29_Blue-098_Control-lipid_14	58791.0	74419.0	84307.0	91768.0	97632.0	102669.0	106875.0	110502.0	113784.0	116654.0	119382.0	121730.0	123914.0	125929.0	127911.0	129698.0	131367.0	132931.0	134353.0	135690.0
ES2_48_Control-lipid_14	53107.0	68250.0	77863.0	84906.0	90568.0	95415.0	99405.0	102971.0	106197.0	109146.0	111690.0	114045.0	116242.0	118338.0	120264.0	122038.0	123786.0	125285.0	126693.0	128073.0
ES30_Blue-098_Control-lipid_21	49423.0	63731.0	72585.0	79333.0	84737.0	89319.0	93211.0	96605.0	99563.0	102228.0	104701.0	107050.0	109144.0	111104.0	112884.0	114562.0	116108.0	117597.0	118931.0	120232.0
ES31_Blue-055_NA_0	52191.0	67549.0	77169.0	84290.0	90100.0	94863.0	98882.0	102282.0	105352.0	108085.0	110521.0	112793.0	114825.0	116657.0	118347.0	119944.0	121391.0	122771.0	124060.0	125298.0
ES32_Blue-055_NA_14	57012.0	73278.0	83567.0	90904.0	96661.0	101326.0	105369.0	108907.0	111913.0	114675.0	117087.0	119331.0	121431.0	123253.0	124924.0	126575.0	128093.0	129517.0	130800.0	132047.0
ES33_101-LS_MG-lipid_0	51939.0	67063.0	76577.0	83548.0	89207.0	93920.0	98045.0	101661.0	104763.0	107591.0	110132.0	112542.0	114723.0	116698.0	118558.0	120223.0	121797.0	123276.0	124647.0	125961.0
ES34_101-LS_MG-lipid_14	53436.0	69302.0	79150.0	86599.0	92455.0	97245.0	101410.0	105065.0	108341.0	111314.0	113889.0	116382.0	118598.0	120631.0	122457.0	124176.0	125870.0	127417.0	128843.0	130209.0
ES35_101-LS_MG-lipid_21	51201.0	66509.0	76326.0	83681.0	89596.0	94454.0	98692.0	102329.0	105530.0	108409.0	111065.0	113436.0	115643.0	117616.0	119540.0	121286.0	122881.0	124418.0	125789.0	127093.0
ES36_AR17-21_MG-lipid_0	52151.0	67553.0	77352.0	84582.0	90222.0	94939.0	98919.0	102405.0	105554.0	108272.0	110854.0	113167.0	115374.0	117292.0	119117.0	120767.0	122359.0	123812.0	125232.0	126534.0
ES37_AR17-21_MG-lipid_14	54972.0	70503.0	80362.0	87580.0	93357.0	98045.0	102238.0	105901.0	109045.0	111859.0	114444.0	116782.0	118967.0	120993.0	122859.0	124589.0	126192.0	127698.0	129086.0	130383.0
ES38_AR17-21_MG-lipid_21	57736.0	74446.0	84797.0	92175.0	98011.0	102763.0	106944.0	110548.0	113653.0	116551.0	119104.0	121383.0	123573.0	125483.0	127310.0	128982.0	130605.0	132051.0	133456.0	134748.0
ES39_LD19-239_MG-lipid_14	58205.0	74587.0	84727.0	92237.0	98247.0	103138.0	107235.0	110909.0	114150.0	116997.0	119579.0	121999.0	124161.0	126243.0	128056.0	129727.0	131305.0	132842.0	134247.0	135603.0
ES3_48_Control-lipid_21	51663.0	66486.0	76040.0	83129.0	88732.0	93385.0	97429.0	100906.0	103983.0	106753.0	109268.0	111587.0	113704.0	115684.0	117528.0	119210.0	120850.0	122349.0	123766.0	125067.0
ES40_LD19-239_MG-lipid_21	58287.0	74933.0	85270.0	92992.0	99031.0	104186.0	108455.0	112285.0	115563.0	118444.0	121064.0	123455.0	125669.0	127647.0	129518.0	131283.0	132875.0	134389.0	135814.0	137139.0
ES41_Blue-013_Control-protein_0	55822.0	71564.0	81557.0	88785.0	94475.0	99148.0	103116.0	106626.0	109688.0	112403.0	114819.0	117142.0	119168.0	121057.0	122786.0	124395.0	125910.0	127362.0	128695.0	129948.0
ES42_Blue-013_Control-protein_14	55906.0	71334.0	80811.0	87794.0	93353.0	97859.0	101876.0	105299.0	108326.0	111106.0	113642.0	115963.0	118108.0	120069.0	121872.0	123559.0	125101.0	126546.0	127921.0	129219.0
