Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
ES100_SEM19-140_Control-lipid_0_1 - Adapter 1	0.8243068747401906	1.0459657737548895	0.9539141507565876	0.5922193483501293	0.6313548715890308	0.16966580976863754	0.177153990474816	0.6884110261220956	3.533487297921478	15.704387990762125	65.18518518518518	118.88888888888889	498.5714285714286	544.2857142857143	435.7142857142857	468.5714285714286	485.7142857142857	424.28571428571433	367.14285714285717	410.0	361.42857142857144	301.42857142857144	328.5714285714286	295.7142857142857	297.14285714285717	257.14285714285717	272.8571428571429	222.85714285714286	215.71428571428572	180.0	834.2857142857143	232.85714285714286	148.57142857142858	174.2857142857143	78.57142857142857	112.85714285714286	67.14285714285715	75.71428571428572	35.714285714285715	38.57142857142858	90.0	68.57142857142857	62.85714285714286	278.5714285714286	50.0	115.71428571428572	2088.571428571429	2902.857142857143	331.42857142857144	6178.571428571429
ES100_SEM19-140_Control-lipid_0_2 - Adapter 1	0.9173052661502201	1.1837416773773282	1.5323314088321287	0.9326397705312103	1.2401597441928114	0.5676272944572227	0.44126136527637466	0.8385048347524896	4.145496535796767	26.189376443418016	91.38888888888889	222.59259259259258	762.8571428571429	804.2857142857143	524.2857142857143	632.8571428571429	870.0	387.14285714285717	730.0	315.7142857142857	387.14285714285717	384.28571428571433	427.14285714285717	475.7142857142857	282.8571428571429	290.0	327.14285714285717	222.85714285714286	260.0	235.71428571428572	818.5714285714287	244.2857142857143	154.2857142857143	137.14285714285714	118.57142857142858	104.28571428571429	85.71428571428572	84.28571428571429	42.85714285714286	42.85714285714286	97.14285714285715	45.714285714285715	50.0	31.42857142857143	32.85714285714286	15.714285714285715	65.71428571428572	81.42857142857143	34.285714285714285	127.14285714285715
ES101_SEM19-140_Control-lipid_14_1 - Adapter 1	0.8599522058285084	1.0209628798595916	0.943218529755932	0.6127217886609756	0.6349523952445267	0.19618305336674513	0.21114414208400029	0.7271341463414634	4.237804878048781	17.170731707317074	75.58823529411765	169.6153846153846	753.3333333333334	731.6666666666667	615.0	648.3333333333334	746.6666666666667	578.3333333333334	493.33333333333337	580.0	521.6666666666667	401.6666666666667	435.0	548.3333333333334	468.33333333333337	371.6666666666667	326.6666666666667	315.0	306.6666666666667	201.66666666666669	430.0	275.0	260.0	186.66666666666669	178.33333333333334	116.66666666666667	90.0	113.33333333333334	88.33333333333334	58.333333333333336	51.66666666666667	13.333333333333334	40.0	73.33333333333334	38.333333333333336	86.66666666666667	165.0	70.0	181.66666666666669	9241.666666666668
ES101_SEM19-140_Control-lipid_14_2 - Adapter 1	0.9386935993055362	1.202230347483901	1.5966892859588684	0.9676848821940812	1.1899640552534356	0.5594885329623737	0.5286226084305206	1.0320121951219512	4.932926829268292	30.829268292682926	108.03921568627452	280.38461538461536	1176.6666666666667	1075.0	725.0	988.3333333333334	1243.3333333333335	541.6666666666667	1080.0	393.33333333333337	651.6666666666667	586.6666666666667	590.0	728.3333333333334	498.33333333333337	403.33333333333337	451.6666666666667	335.0	375.0	348.33333333333337	300.0	258.33333333333337	171.66666666666669	221.66666666666669	178.33333333333334	98.33333333333334	138.33333333333334	88.33333333333334	80.0	35.0	66.66666666666667	43.333333333333336	38.333333333333336	16.666666666666668	43.333333333333336	25.0	78.33333333333334	40.0	41.66666666666667	88.33333333333334
ES102_SEM19-140_Control-lipid_21_1 - Adapter 1	0.836347565871468	1.0359155496768804	0.9481326803066105	0.6086612725462083	0.6224040811988522	0.18356814297739196	0.2234465870829507	0.7400353693375051	4.156692056583243	18.30065359477124	77.3913043478261	161.3793103448276	678.5714285714287	750.0	604.2857142857143	688.5714285714287	780.0	568.5714285714286	465.7142857142857	510.00000000000006	460.00000000000006	417.14285714285717	482.8571428571429	424.28571428571433	415.7142857142857	408.5714285714286	344.28571428571433	337.14285714285717	314.2857142857143	222.85714285714286	242.85714285714286	230.00000000000003	194.2857142857143	177.14285714285717	107.14285714285715	112.85714285714286	77.14285714285715	48.57142857142858	68.57142857142857	55.714285714285715	85.71428571428572	38.57142857142858	82.85714285714286	265.7142857142857	62.85714285714286	141.42857142857144	1627.1428571428573	677.1428571428572	287.14285714285717	22157.14285714286
ES102_SEM19-140_Control-lipid_21_2 - Adapter 1	0.9189952613560974	1.1597626277345596	1.552176199243119	0.9292316619920692	1.1827611860984164	0.5644784165015773	0.5686494575383464	1.048836892939736	5.195865070729053	28.99782135076253	109.65217391304348	251.0344827586207	1095.7142857142858	1150.0	737.1428571428572	970.0000000000001	1154.2857142857144	585.7142857142858	997.1428571428572	404.28571428571433	565.7142857142858	581.4285714285714	541.4285714285714	611.4285714285714	504.28571428571433	491.42857142857144	520.0	295.7142857142857	334.28571428571433	222.85714285714286	262.8571428571429	208.57142857142858	195.71428571428572	171.42857142857144	108.57142857142858	125.71428571428572	80.0	75.71428571428572	60.00000000000001	48.57142857142858	64.28571428571429	35.714285714285715	22.857142857142858	14.285714285714286	28.571428571428573	15.714285714285715	80.0	30.000000000000004	31.42857142857143	130.0
ES103_625_Control-lipid_0_1 - Adapter 1	0.8441068541234574	1.0274209435317754	0.9239185822172711	0.6088712329289788	0.6489884030322808	0.1950294793323373	0.24097934003791407	0.8417941138671122	4.570694087403599	18.744855967078188	76.88524590163935	175.66666666666666	671.25	741.25	610.0	557.5	753.75	593.75	426.25	526.25	455.0	385.0	450.0	415.0	430.0	307.5	343.75	307.5	242.5	213.75	617.5	247.5	178.75	178.75	132.5	121.25	86.25	85.0	71.25	68.75	113.75	51.25	73.75	133.75	48.75	118.75	702.5	490.0	438.75	25018.75
ES103_625_Control-lipid_0_2 - Adapter 1	0.9009107656043497	1.1880795035290443	1.5577308387624071	0.9665299294793561	1.322556353230584	0.528539528009382	0.6120875236963017	1.0821231204215396	5.768637532133676	31.54320987654321	108.36065573770493	282.0	1100.0	1083.75	707.5	888.75	1200.0	528.75	827.5	458.75	586.25	501.25	561.25	663.75	463.75	366.25	513.75	317.5	281.25	358.75	480.0	212.5	205.0	178.75	140.0	140.0	103.75	85.0	73.75	45.0	73.75	35.0	55.0	27.5	42.5	18.75	91.25	32.5	22.5	203.75
ES104_625_Control-lipid_14_1 - Adapter 1	0.8431379907698272	1.0382373501561017	0.9218495479739651	0.6078720862331038	0.63428436101659	0.18716470893245318	0.21577855775366944	0.6764518187619656	3.9246968730057437	17.5	72.0408163265306	166.25	651.6666666666667	686.6666666666667	598.3333333333334	641.6666666666667	703.3333333333334	565.0	416.6666666666667	516.6666666666667	441.6666666666667	390.0	398.33333333333337	400.0	383.33333333333337	318.33333333333337	311.6666666666667	271.6666666666667	290.0	226.66666666666669	373.33333333333337	221.66666666666669	158.33333333333334	143.33333333333334	138.33333333333334	75.0	73.33333333333334	90.0	70.0	71.66666666666667	105.0	140.0	191.66666666666669	701.6666666666667	171.66666666666669	311.6666666666667	6365.0	2001.6666666666667	3703.3333333333335	159658.33333333334
ES104_625_Control-lipid_14_2 - Adapter 1	0.9148237485086891	1.1293370494117605	1.4956503449108607	0.9398590660116254	1.2737040222363485	0.507548411542987	0.5121250797702617	0.9668155711550734	4.830887045309509	28.316326530612244	93.97959183673468	255.0	1016.6666666666667	1041.6666666666667	625.0	893.3333333333334	1021.6666666666667	448.33333333333337	865.0	401.6666666666667	538.3333333333334	501.6666666666667	510.0	545.0	375.0	365.0	411.6666666666667	255.0	320.0	225.0	386.6666666666667	186.66666666666669	188.33333333333334	155.0	93.33333333333334	90.0	76.66666666666667	98.33333333333334	60.0	55.0	81.66666666666667	51.66666666666667	33.333333333333336	16.666666666666668	38.333333333333336	36.66666666666667	103.33333333333334	108.33333333333334	73.33333333333334	450.0
ES105_625_Control-lipid_21_1 - Adapter 1	0.8301058404508632	1.0625865375228016	0.935223497034583	0.6235478566051849	0.654740443551171	0.1922413065658154	0.23627604406394795	0.7806554559960721	4.6539027982326955	19.076620825147348	87.08661417322836	179.375	686.25	755.0	742.5	681.25	746.25	613.75	538.75	625.0	478.75	461.25	503.75	486.25	420.0	358.75	373.75	358.75	292.5	227.5	805.0	240.0	215.0	187.5	106.25	87.5	63.75	50.0	96.25	91.25	137.5	40.0	73.75	83.75	37.5	115.0	193.75	88.75	151.25	5732.5
ES105_625_Control-lipid_21_2 - Adapter 1	0.895047226421265	1.2106548123507814	1.5723830254445728	0.9955794429714582	1.3097110243408485	0.5387512753438634	0.6035778943815397	1.1906223149625628	6.440844378988709	30.471512770137526	124.25196850393702	279.0625	1207.5	1138.75	812.5	980.0	1158.75	535.0	1076.25	480.0	665.0	610.0	653.75	681.25	505.0	487.5	560.0	376.25	331.25	365.0	673.75	255.0	190.0	208.75	128.75	117.5	107.5	76.25	76.25	75.0	73.75	46.25	98.75	25.0	40.0	25.0	108.75	21.25	17.5	91.25
ES10_172_Control-protein_14_1 - Adapter 1	0.8431460709676859	1.0496760977379498	0.9295970849783216	0.5935616862415056	0.6064098067705462	0.16452736555804742	0.159566346007024	0.5741334554893878	3.567501527183873	13.789731051344743	62.254901960784316	117.6923076923077	488.33333333333337	548.3333333333334	420.0	506.6666666666667	505.0	385.0	328.33333333333337	393.33333333333337	403.33333333333337	336.6666666666667	343.33333333333337	366.6666666666667	338.33333333333337	316.6666666666667	286.6666666666667	228.33333333333334	253.33333333333334	196.66666666666669	340.0	196.66666666666669	228.33333333333334	151.66666666666669	135.0	100.0	83.33333333333334	68.33333333333334	75.0	60.0	76.66666666666667	78.33333333333334	68.33333333333334	120.0	73.33333333333334	93.33333333333334	298.33333333333337	463.33333333333337	1386.6666666666667	82588.33333333334
ES10_172_Control-protein_14_2 - Adapter 1	0.9243788600544577	1.1692406980033823	1.4579656402973473	0.9176365611190075	1.2928885166973247	0.5382449778117097	0.4416704840433654	0.7817987479004428	3.995113011606598	22.90953545232274	92.05882352941177	205.3846153846154	765.0	810.0	533.3333333333334	770.0	898.3333333333334	375.0	741.6666666666667	291.6666666666667	476.6666666666667	456.6666666666667	465.0	503.33333333333337	351.6666666666667	370.0	373.33333333333337	245.0	276.6666666666667	255.0	293.33333333333337	195.0	231.66666666666669	121.66666666666667	120.0	95.0	78.33333333333334	93.33333333333334	58.333333333333336	61.66666666666667	55.0	58.333333333333336	45.0	28.333333333333336	65.0	28.333333333333336	98.33333333333334	38.333333333333336	83.33333333333334	945.0
ES11_172_Control-protein_21_1 - Adapter 1	0.8470565702944756	1.0542771470209493	0.9291864778433284	0.5960087286203659	0.595420073908075	0.15917976203600837	0.16248855117202077	0.5848032564450475	3.5124864277958743	14.859002169197396	62.608695652173914	130.0	512.8571428571429	488.5714285714286	467.14285714285717	508.5714285714286	515.7142857142858	405.7142857142857	312.8571428571429	410.0	355.7142857142857	317.14285714285717	321.42857142857144	405.7142857142857	362.8571428571429	274.2857142857143	280.0	241.42857142857144	268.5714285714286	182.85714285714286	144.2857142857143	181.42857142857144	157.14285714285714	135.71428571428572	85.71428571428572	104.28571428571429	67.14285714285715	78.57142857142857	68.57142857142857	70.0	75.71428571428572	20.0	18.571428571428573	45.714285714285715	47.142857142857146	71.42857142857143	118.57142857142858	48.57142857142858	130.0	9612.857142857143
ES11_172_Control-protein_21_2 - Adapter 1	0.9294746691871173	1.1492840017035337	1.4574714185045423	0.9085917122629483	1.2486987641704848	0.5196027714409288	0.45320397571152343	0.8018995929443691	4.305103148751358	24.143167028199567	80.26086956521739	221.3793103448276	721.4285714285714	788.5714285714287	480.00000000000006	701.4285714285714	890.0	380.0	668.5714285714287	292.8571428571429	411.42857142857144	415.7142857142857	432.8571428571429	444.28571428571433	394.28571428571433	342.8571428571429	441.42857142857144	202.85714285714286	262.8571428571429	200.0	191.42857142857144	155.71428571428572	192.85714285714286	108.57142857142858	112.85714285714286	118.57142857142858	78.57142857142857	64.28571428571429	60.00000000000001	71.42857142857143	71.42857142857143	22.857142857142858	40.0	4.285714285714286	28.571428571428573	17.142857142857142	81.42857142857143	37.142857142857146	24.28571428571429	140.0
ES12_209_MG-lipid_0_1 - Adapter 1	0.8329565202301534	1.0411154328929744	0.9058772401043919	0.5504115063108918	0.5724179948129313	0.1339493480229144	0.15806397021492638	0.4576225291091254	3.0265295073091503	12.467532467532466	54.0	96.20689655172414	404.28571428571433	445.7142857142857	335.7142857142857	417.14285714285717	422.8571428571429	330.0	314.2857142857143	321.42857142857144	305.7142857142857	275.7142857142857	262.8571428571429	292.8571428571429	248.57142857142858	202.85714285714286	207.14285714285717	218.57142857142858	212.85714285714286	157.14285714285714	232.85714285714286	128.57142857142858	132.85714285714286	91.42857142857143	100.0	81.42857142857143	85.71428571428572	81.42857142857143	41.42857142857143	42.85714285714286	57.142857142857146	24.28571428571429	28.571428571428573	52.85714285714286	25.714285714285715	57.142857142857146	148.57142857142858	131.42857142857144	247.14285714285717	9290.0
