Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
ES14_209_MG-lipid_21	1.9.0	none	vb	[]	1	['ISR']	1001	286.44551811352926	88.12583509949016	False	False	4096	mapping	False	41223	685	67899	False	['range_factorized', 'gzipped']	[1487, 2500, 3730, 5529, 27516]	d300f3a597b0a437c7838c6b5526b996a2eccd7849a6c412d45957df875d527a	46df2b70153b8caa85a61ec0202088393bf59445d85b0adb3bf7a2a774248c23	8290e58c4a5a9308d5427004628f52516ac9a65b1cb3ad462754a72b91e9c56357c003b0af6886845fc38440d55b8b5f943074b53612ef313b52a399f3ef9f5a	a9ca8e6b92c5fb93f923da29b92c033513fcd1619aacc5001c9a2b12f9da568de2ed1aec39cf42f8d091e1868070976b80fa256ed8059b13af19d96053928cb9	3053fec90259fba2f931a9f3f4141de6ea20979cc0e9ab711a66eac01664911a	4e79523d7bfa09163b99e3a2dab61f1e7e634d5751d1ceef921b5ab256f2cfdc	0	39803004	33681038	520815	64066	951830	5166127	84.61933677166678	quant	Tue Feb 07 13:32:29 2023	Tue Feb 07 13:34:21 2023
ES15_601_Control-protein_14	1.9.0	none	vb	[]	1	['ISR']	1001	263.9111801715532	91.53467851022818	False	False	4096	mapping	False	41223	685	71988	False	['range_factorized', 'gzipped']	[1487, 2500, 3730, 5529, 27516]	d300f3a597b0a437c7838c6b5526b996a2eccd7849a6c412d45957df875d527a	46df2b70153b8caa85a61ec0202088393bf59445d85b0adb3bf7a2a774248c23	8290e58c4a5a9308d5427004628f52516ac9a65b1cb3ad462754a72b91e9c56357c003b0af6886845fc38440d55b8b5f943074b53612ef313b52a399f3ef9f5a	a9ca8e6b92c5fb93f923da29b92c033513fcd1619aacc5001c9a2b12f9da568de2ed1aec39cf42f8d091e1868070976b80fa256ed8059b13af19d96053928cb9	3053fec90259fba2f931a9f3f4141de6ea20979cc0e9ab711a66eac01664911a	4e79523d7bfa09163b99e3a2dab61f1e7e634d5751d1ceef921b5ab256f2cfdc	0	44369070	36603730	604145	74286	1002753	5900896	82.49830343525343	quant	Tue Feb 07 15:18:36 2023	Tue Feb 07 15:20:19 2023
ES16_601_Control-protein_21	1.9.0	none	vb	[]	1	['ISR']	1001	256.93740545984866	90.80875794019424	False	False	4096	mapping	False	41223	685	73196	False	['range_factorized', 'gzipped']	[1487, 2500, 3730, 5529, 27516]	d300f3a597b0a437c7838c6b5526b996a2eccd7849a6c412d45957df875d527a	46df2b70153b8caa85a61ec0202088393bf59445d85b0adb3bf7a2a774248c23	8290e58c4a5a9308d5427004628f52516ac9a65b1cb3ad462754a72b91e9c56357c003b0af6886845fc38440d55b8b5f943074b53612ef313b52a399f3ef9f5a	a9ca8e6b92c5fb93f923da29b92c033513fcd1619aacc5001c9a2b12f9da568de2ed1aec39cf42f8d091e1868070976b80fa256ed8059b13af19d96053928cb9	3053fec90259fba2f931a9f3f4141de6ea20979cc0e9ab711a66eac01664911a	4e79523d7bfa09163b99e3a2dab61f1e7e634d5751d1ceef921b5ab256f2cfdc	0	48597156	40666227	643617	76420	999079	6523979	83.68026104243631	quant	Tue Feb 07 12:58:41 2023	Tue Feb 07 13:00:39 2023
ES17_615_Control-protein_0	1.9.0	none	vb	[]	1	['ISR']	1001	262.876062086972	91.9061079343812	False	False	4096	mapping	False	41223	685	68636	False	['range_factorized', 'gzipped']	[1487, 2500, 3730, 5529, 27516]	d300f3a597b0a437c7838c6b5526b996a2eccd7849a6c412d45957df875d527a	46df2b70153b8caa85a61ec0202088393bf59445d85b0adb3bf7a2a774248c23	8290e58c4a5a9308d5427004628f52516ac9a65b1cb3ad462754a72b91e9c56357c003b0af6886845fc38440d55b8b5f943074b53612ef313b52a399f3ef9f5a	a9ca8e6b92c5fb93f923da29b92c033513fcd1619aacc5001c9a2b12f9da568de2ed1aec39cf42f8d091e1868070976b80fa256ed8059b13af19d96053928cb9	3053fec90259fba2f931a9f3f4141de6ea20979cc0e9ab711a66eac01664911a	4e79523d7bfa09163b99e3a2dab61f1e7e634d5751d1ceef921b5ab256f2cfdc	0	46092259	38822608	652771	72813	1160299	6689481	84.22804358536648	quant	Tue Feb 07 12:52:48 2023	Tue Feb 07 12:54:40 2023
ES18_615_Control-protein_14	1.9.0	none	vb	[]	1	['ISR']	1001	266.80701216764	91.34774118072097	False	False	4096	mapping	False	41223	685	73371	False	['range_factorized', 'gzipped']	[1487, 2500, 3730, 5529, 27516]	d300f3a597b0a437c7838c6b5526b996a2eccd7849a6c412d45957df875d527a	46df2b70153b8caa85a61ec0202088393bf59445d85b0adb3bf7a2a774248c23	8290e58c4a5a9308d5427004628f52516ac9a65b1cb3ad462754a72b91e9c56357c003b0af6886845fc38440d55b8b5f943074b53612ef313b52a399f3ef9f5a	a9ca8e6b92c5fb93f923da29b92c033513fcd1619aacc5001c9a2b12f9da568de2ed1aec39cf42f8d091e1868070976b80fa256ed8059b13af19d96053928cb9	3053fec90259fba2f931a9f3f4141de6ea20979cc0e9ab711a66eac01664911a	4e79523d7bfa09163b99e3a2dab61f1e7e634d5751d1ceef921b5ab256f2cfdc	0	44345822	35814718	672519	82457	1186407	6383209	80.76232750855313	quant	Tue Feb 07 14:12:43 2023	Tue Feb 07 14:14:34 2023
ES19_615_Control-protein_21	1.9.0	none	vb	[]	1	['ISR']	1001	278.2511784653006	98.3866385173247	False	False	4096	mapping	False	41223	685	78420	False	['range_factorized', 'gzipped']	[1487, 2500, 3730, 5529, 27516]	d300f3a597b0a437c7838c6b5526b996a2eccd7849a6c412d45957df875d527a	46df2b70153b8caa85a61ec0202088393bf59445d85b0adb3bf7a2a774248c23	8290e58c4a5a9308d5427004628f52516ac9a65b1cb3ad462754a72b91e9c56357c003b0af6886845fc38440d55b8b5f943074b53612ef313b52a399f3ef9f5a	a9ca8e6b92c5fb93f923da29b92c033513fcd1619aacc5001c9a2b12f9da568de2ed1aec39cf42f8d091e1868070976b80fa256ed8059b13af19d96053928cb9	3053fec90259fba2f931a9f3f4141de6ea20979cc0e9ab711a66eac01664911a	4e79523d7bfa09163b99e3a2dab61f1e7e634d5751d1ceef921b5ab256f2cfdc	0	43201808	35256815	585761	74882	932047	6214270	81.60958217304238	quant	Tue Feb 07 15:16:49 2023	Tue Feb 07 15:18:35 2023
ES1_48_Control-lipid_0	1.9.0	none	vb	[]	1	['ISR']	1001	261.0962952408167	99.6549522005498	False	False	4096	mapping	False	41223	685	78278	False	['range_factorized', 'gzipped']	[1487, 2500, 3730, 5529, 27516]	d300f3a597b0a437c7838c6b5526b996a2eccd7849a6c412d45957df875d527a	46df2b70153b8caa85a61ec0202088393bf59445d85b0adb3bf7a2a774248c23	8290e58c4a5a9308d5427004628f52516ac9a65b1cb3ad462754a72b91e9c56357c003b0af6886845fc38440d55b8b5f943074b53612ef313b52a399f3ef9f5a	a9ca8e6b92c5fb93f923da29b92c033513fcd1619aacc5001c9a2b12f9da568de2ed1aec39cf42f8d091e1868070976b80fa256ed8059b13af19d96053928cb9	3053fec90259fba2f931a9f3f4141de6ea20979cc0e9ab711a66eac01664911a	4e79523d7bfa09163b99e3a2dab61f1e7e634d5751d1ceef921b5ab256f2cfdc	0	50580283	41390656	756672	89233	1239159	7426379	81.83160224706533	quant	Tue Feb 07 12:56:43 2023	Tue Feb 07 12:58:39 2023
ES20_618_Control-lipid_0	1.9.0	none	vb	[]	1	['ISR']	1001	270.47065994982455	90.50094023901438	False	False	4096	mapping	False	41223	685	73752	False	['range_factorized', 'gzipped']	[1487, 2500, 3730, 5529, 27516]	d300f3a597b0a437c7838c6b5526b996a2eccd7849a6c412d45957df875d527a	46df2b70153b8caa85a61ec0202088393bf59445d85b0adb3bf7a2a774248c23	8290e58c4a5a9308d5427004628f52516ac9a65b1cb3ad462754a72b91e9c56357c003b0af6886845fc38440d55b8b5f943074b53612ef313b52a399f3ef9f5a	a9ca8e6b92c5fb93f923da29b92c033513fcd1619aacc5001c9a2b12f9da568de2ed1aec39cf42f8d091e1868070976b80fa256ed8059b13af19d96053928cb9	3053fec90259fba2f931a9f3f4141de6ea20979cc0e9ab711a66eac01664911a	4e79523d7bfa09163b99e3a2dab61f1e7e634d5751d1ceef921b5ab256f2cfdc	0	47528299	40016643	592118	68975	975956	5703239	84.19540324807332	quant	Tue Feb 07 14:09:04 2023	Tue Feb 07 14:10:52 2023
ES21_618_Control-lipid_14	1.9.0	none	vb	[]	1	['ISR']	1001	242.96367565045844	92.61319963004013	False	False	4096	mapping	False	41223	685	62431	False	['range_factorized', 'gzipped']	[1487, 2500, 3730, 5529, 27516]	d300f3a597b0a437c7838c6b5526b996a2eccd7849a6c412d45957df875d527a	46df2b70153b8caa85a61ec0202088393bf59445d85b0adb3bf7a2a774248c23	8290e58c4a5a9308d5427004628f52516ac9a65b1cb3ad462754a72b91e9c56357c003b0af6886845fc38440d55b8b5f943074b53612ef313b52a399f3ef9f5a	a9ca8e6b92c5fb93f923da29b92c033513fcd1619aacc5001c9a2b12f9da568de2ed1aec39cf42f8d091e1868070976b80fa256ed8059b13af19d96053928cb9	3053fec90259fba2f931a9f3f4141de6ea20979cc0e9ab711a66eac01664911a	4e79523d7bfa09163b99e3a2dab61f1e7e634d5751d1ceef921b5ab256f2cfdc	0	33237069	27833581	411530	49508	694896	4358382	83.74258572559452	quant	Tue Feb 07 13:11:34 2023	Tue Feb 07 13:13:15 2023
ES22_618_Control-lipid_21	1.9.0	none	vb	[]	1	['ISR']	1001	285.55124035494833	95.69326555980464	False	False	4096	mapping	False	41223	685	76836	False	['range_factorized', 'gzipped']	[1487, 2500, 3730, 5529, 27516]	d300f3a597b0a437c7838c6b5526b996a2eccd7849a6c412d45957df875d527a	46df2b70153b8caa85a61ec0202088393bf59445d85b0adb3bf7a2a774248c23	8290e58c4a5a9308d5427004628f52516ac9a65b1cb3ad462754a72b91e9c56357c003b0af6886845fc38440d55b8b5f943074b53612ef313b52a399f3ef9f5a	a9ca8e6b92c5fb93f923da29b92c033513fcd1619aacc5001c9a2b12f9da568de2ed1aec39cf42f8d091e1868070976b80fa256ed8059b13af19d96053928cb9	3053fec90259fba2f931a9f3f4141de6ea20979cc0e9ab711a66eac01664911a	4e79523d7bfa09163b99e3a2dab61f1e7e634d5751d1ceef921b5ab256f2cfdc	0	45931113	38140748	612891	66691	1124814	6810625	83.0390241142208	quant	Tue Feb 07 13:36:24 2023	Tue Feb 07 13:38:18 2023
