Sample	x	y
ES8_SEM19.1354_Control.protein_21	-3.43620053382225	-10.5085018866533
ES90_Blue.049_Control.protein_14	5.33355299671066	17.1158000493447
ES91_Blue.049_Control.protein_21	3.51558348063772	15.2751013567743
ES92_SEM19.76_MG.lipid_0	-0.317371810700935	-3.31646693333027
ES93_SEM19.76_MG.lipid_14	-0.105408575736101	-5.08758762493661
ES94_SEM19.76_MG.lipid_21	3.19327379450289	-3.27248441486355
ES95_610_MG.protein_14	0.765408700803112	7.93337407237059
ES96_610_MG.protein_21	-4.05759582302153	-17.2570531923669
ES97_SEM19.107_MG.protein_0	-7.23421787521034	-17.8359774811578
ES98_SEM19.107_MG.protein_14	-5.51627355366047	-20.9984413932452
ES99_SEM19.107_MG.protein_21	-7.8313524458189	-20.4951153162125
ES9_172_Control.protein_0	-5.37345479948801	-1.04565780493042
