Sample	total_splicing_events	known_splicing_events	partial_novel_splicing_events	novel_splicing_events	total_splicing_junctions	known_splicing_junctions	partial_novel_splicing_junctions	novel_splicing_junctions	known_splicing_events_pct	partial_novel_splicing_events_pct	novel_splicing_events_pct	known_splicing_junctions_pct	partial_novel_splicing_junctions_pct	novel_splicing_junctions_pct
ES4_164_Control-protein_0	10960118	10859746	72556	26102	123054	98819	18129	6106	99.08420694010776	0.6620001718959595	0.2381543702357949	80.30539437970322	14.732556438636696	4.962049181660085
ES50_Blue-024_Control-protein_14	9580707	9491842	62771	24592	111771	89568	16234	5969	99.07245884880939	0.6551812929880854	0.25668251831519323	80.13527659231823	14.52433994506625	5.340383462615526
ES51_Blue-024_Control-protein_21	9293873	9203773	63053	25488	110544	88321	16127	6096	99.03054410147416	0.6784362127608157	0.27424519358076016	79.89669271964105	14.588761036329426	5.5145462440295265
ES52_SEM19-1481_MG-lipid_14	10844277	10730642	78072	33245	129062	101326	19998	7738	98.95212009062476	0.7199373457538939	0.30656723357398563	78.5095535479072	15.494878430521764	5.995568021571028
ES53_SEM19-74_MG-protein_0	10611344	10518376	65315	26307	128578	104727	17382	6469	99.12388100885241	0.6155205221883298	0.2479139306010624	81.45017032462786	13.518642380500554	5.031187294871596
ES54_SEM19-74_MG-protein_14	10722061	10623614	70649	26455	128047	102643	18490	6914	99.08182764489028	0.6589124982594298	0.2467342799112969	80.16040984950838	14.440010308714768	5.3995798417768475
ES55_SEM19-74_MG-protein_21	9294589	9199522	68247	25629	126206	101408	18053	6745	98.97717908774665	0.7342659261211013	0.2757410790299603	80.35117189357082	14.304391233380345	5.344436873048825
ES56_Blue-050_Control-lipid_21	11889234	11785796	73977	26293	121579	96386	17916	7277	99.1299860024624	0.6222183868195378	0.22114965522589597	79.27849381883384	14.736097516840902	5.985408664325254
ES57_Blue-031_MG-lipid_0	14016204	13900336	79778	34082	125062	99765	18176	7121	99.17332824208323	0.5691840672410304	0.24316141517346637	79.77243287329485	14.533591338696006	5.693975788009147
ES58_Blue-032_MG-protein_0	12030745	11917791	78034	32355	136442	109537	18997	7908	99.0611221499583	0.6486215109704344	0.2689359636497989	80.28099851951745	13.9231321733777	5.795869307104851
ES59_Blue-032_MG-protein_14	11810814	11695457	81081	32236	134754	106424	20178	8152	99.02329339874457	0.6864979839662194	0.27293631074030966	78.97650533564867	14.973952535731778	6.049542128619559
ES5_164_Control-protein_14	10389512	10286684	73510	27398	124138	99755	18061	6322	99.01027112726759	0.7075404504080653	0.2637082473171021	80.35814980102789	14.549130806038441	5.092719392933671
ES60_Blue-032_MG-protein_21	10323520	10224658	68990	27863	129866	104448	18161	7257	99.04236152010168	0.6682798115371502	0.26989825175908994	80.42751759505953	13.984414704387598	5.588067700552878
ES61_Blue-035_MG-protein_0	9486253	9384934	69410	30084	128988	104273	17788	6927	98.93193866956742	0.731690373427738	0.317132591761995	80.83930288088814	13.790430117530313	5.370267001581543
ES62_Blue-035_MG-protein_14	10622943	10509107	77447	34124	128853	102221	19257	7375	98.92839489019192	0.7290540860475294	0.32122924880609827	79.33148626729685	14.944937254080232	5.7235764786229275
ES63_Blue-035_MG-protein_21	9888106	9781941	71187	32789	129164	104010	17949	7205	98.92633634793154	0.7199255347788546	0.33160040962344056	80.52553343036759	13.896286891084204	5.578179678548202
ES64_SEM19-1481_MG-lipid_21	11260412	11142091	81490	34561	128181	100481	20123	7577	98.94923027683178	0.7236857763286104	0.3069248265516395	78.38993298538784	15.698894531950913	5.911172482661237
ES65_106_NA_0	11349762	11246085	68680	32405	126648	102736	17081	6831	99.08652710074449	0.6051228210776578	0.28551259488965497	81.11932284757754	13.486987556060893	5.393689596361569
ES66_617_Control-protein_14	10501673	10404488	68324	27282	122282	98202	17699	6381	99.07457602231568	0.6506010994629141	0.25978717867143647	80.3078130877807	14.473920936850886	5.218265975368411
ES67_Blue-037_MG-protein_0	9767888	9658882	77178	29894	128407	102195	18859	7353	98.88403716340729	0.7901196246312407	0.30604364014001795	79.5867826520361	14.686894016681334	5.726323331282562
ES68_Blue-037_MG-protein_14	9180587	9075943	74051	28703	118474	93165	18282	7027	98.8601600311614	0.8066041964419051	0.31264885349923704	78.63750696355318	15.431233857217617	5.9312591792291975
ES69_Blue-037_MG-protein_21	9575043	9457731	82927	32358	133116	106197	19304	7615	98.77481490161453	0.8660744395612636	0.3379410411002854	79.7777877941044	14.501637669401124	5.720574536494486
ES6_164_Control-protein_21	9783781	9680119	74218	27348	127677	102390	18648	6639	98.94047096925003	0.7585819837954263	0.2795238364391026	80.19455344345496	14.605606334735308	5.199840221809723
ES70_Blue-039_Control-lipid_0	13688465	13554418	94095	37489	139461	110026	21030	8405	99.02073022796931	0.6874035912719213	0.27387292877616304	78.89374090247453	15.079484587088862	6.02677451043661
ES71_Blue-039_Control-lipid_14	9530435	9440420	63278	25049	126361	102656	17136	6569	99.05549956533987	0.6639571016433142	0.262831654588694	81.24025609167386	13.561146239741692	5.198597668584452
ES72_Blue-039_Control-lipid_21	10606430	10500929	73748	29951	127968	101445	18834	7689	99.00531092931362	0.6953140689185711	0.2823853077802804	79.2737246811703	14.717741935483872	6.008533383345836
ES73_Blue-042_MG-protein_0	13413795	13281637	93345	36611	130922	101955	20812	8155	99.01476055061225	0.6958880764168529	0.2729354369885629	77.87461236461405	15.89648798521257	6.2288996501733855
ES74_Blue-042_MG-protein_14	12456869	12324269	94831	35724	134632	103367	22552	8713	98.93552705740102	0.7612747633454282	0.2867815339472543	76.77743775625409	16.75084675262939	6.471715491116525
ES75_Blue-042_MG-protein_21	12440579	12327378	80766	30467	126728	99338	19920	7470	99.09006646716362	0.6492141563507614	0.24490017707375195	78.38678113755445	15.71870462723313	5.894514235212423
ES76_Blue-043_MG-lipid_0	9759615	9654591	73666	29309	127325	101997	18244	7084	98.92389197729624	0.7548043647213543	0.3003089773520779	80.10759866483409	14.32868643235814	5.563714902807775
ES77_Blue-043_MG-lipid_14	11194578	11055441	98259	38283	135861	104935	22463	8463	98.75710366214787	0.8777374189540686	0.34197805401865083	77.23702902230957	16.53381029140077	6.229160686289664
ES78_Blue-043_MG-lipid_21	12023607	11885186	96164	39484	142485	111951	21950	8584	98.84875645053934	0.7997932733496695	0.32838731339106475	78.57037582903463	15.405130364599781	6.024493806365582
ES79_Blue-050_Control-lipid_0	9097891	9006190	66173	22708	121126	96887	17530	6709	98.99206310561426	0.7273443922333209	0.24959630753984635	79.98860690520615	14.472532734507867	5.538860360285983
ES7_SEM19-1354_Control-protein_14	10644369	10529601	80251	32575	127331	99875	19676	7780	98.92179611586182	0.7539291431929878	0.3060303527621036	78.43730120709019	15.452639184487674	6.1100596084221435
ES80_Blue-050_Control-lipid_14	9907750	9818112	64990	22235	115741	92892	16396	6453	99.09527390174358	0.6559511493527794	0.2244202770558401	80.25850822094158	14.16611226790852	5.575379511149895
ES81_Blue-047_Control-lipid_0	11409154	11296907	78990	31246	127277	99918	19842	7517	99.01616719346588	0.6923388009312522	0.27386780825291696	78.50436449633477	15.589619491345646	5.906016012319586
ES82_Blue-047_Control-lipid_14	7636702	7564982	49258	21100	109141	89569	14037	5535	99.06085113704842	0.6450166577142855	0.2762972812085636	82.06723412832942	12.861344499317399	5.0714213723531945
ES83_SEM19-1481_MG-lipid_0	11503732	11393413	75139	32758	128574	102110	19275	7189	99.04101555912463	0.6531706406234081	0.2847597631794621	79.41730054287804	14.991366839329881	5.591332617792089
ES84_LD19-239_MG-lipid_0	11143513	11019838	87614	33930	131520	103667	20466	7387	98.89016147780328	0.786233210299122	0.304482078497149	78.82223236009732	15.561131386861312	5.616636253041363
ES85_orange-24_Control-protein_0	11228658	11115377	78413	32641	134001	106241	19643	8117	98.99114391051896	0.6983292215329739	0.29069368752704017	79.28373668853219	14.658845829508735	6.05741748195909
ES86_orange-24_Control-protein_14	8644500	8560635	58627	23490	118074	95545	16183	6346	99.0298455665452	0.678200011568049	0.2717334721499219	80.91959279773701	13.705811609668514	5.374595592594475
ES87_orange-24_Control-protein_21	10932436	10819685	77972	32573	123254	94799	20168	8287	98.96865620800341	0.7132170725719318	0.2979482340440868	76.91352816135785	16.3629577944732	6.723514044168952
ES88_610_MG-protein_0	12358146	12248689	75368	31669	135770	110194	18545	7031	99.11429271024957	0.6098649425245503	0.25626012186617636	81.16225970391102	13.659129410031671	5.178610886057303
ES8_SEM19-1354_Control-protein_21	11153472	11024278	90201	36508	129806	100367	21107	8332	98.84167010954079	0.8087257492554784	0.32732408347822095	77.32077099671818	16.2604193950973	6.418809608184521
ES90_Blue-049_Control-protein_14	10908473	10807159	70784	28483	121752	96161	18350	7241	99.07123572657694	0.6488900875493756	0.26110895631313386	78.98104343255142	15.071621000065708	5.9473355673828765
ES91_Blue-049_Control-protein_21	10495643	10403399	65293	25216	121007	97179	17416	6412	99.12112102136096	0.6220962355522192	0.24025207412256686	80.30857718974936	14.392555802556878	5.2988670076937705
ES92_SEM19-76_MG-lipid_0	12326542	12228830	67141	28545	124910	101959	16593	6358	99.20730404358335	0.5446864173261244	0.23157346155961664	81.6259706989032	13.283964454407174	5.090064846689617
ES93_SEM19-76_MG-lipid_14	11754943	11649319	72068	30833	123775	99804	17155	6816	99.10145034305994	0.6130867669881513	0.2622981668222466	80.63340739244596	13.859826297717634	5.506766309836396
ES94_SEM19-76_MG-lipid_21	11783542	11680060	72243	29183	120871	97322	16959	6590	99.12180904519201	0.6130839097446251	0.24765898063587333	80.5172456585947	14.030660787120153	5.452093554285147
ES95_610_MG-protein_14	12429642	12304675	86877	35648	136192	108463	19768	7961	98.99460499345032	0.6989501387087416	0.2867982842949137	79.6397732612782	14.514802631578947	5.845424107142857
ES96_610_MG-protein_21	12173399	12047375	89719	34049	132058	104436	20002	7620	98.96475914409771	0.7370086201889875	0.2797000246192538	79.0834330369989	15.14637507761741	5.770191885383695
ES97_SEM19-107_MG-protein_0	11387844	11265978	86883	33017	131816	103413	20702	7701	98.92985889163919	0.7629451193746595	0.289931966050817	78.45253990410875	15.705225465800812	5.842234630090429
ES98_SEM19-107_MG-protein_14	13458697	13281565	126003	48166	142936	106562	26106	10268	98.68388448005034	0.9362199030114133	0.3578801127627734	74.55224715956791	18.264118206749874	7.183634633682208
ES99_SEM19-107_MG-protein_21	11017433	10896502	85468	33192	133348	104704	20747	7897	98.90236682174513	0.7757523916868838	0.3012679995421801	78.51936287008428	15.558538560758317	5.922098569157392
ES9_172_Control-protein_0	11326842	11226190	68406	30201	131218	106554	17543	7121	99.1113851504241	0.6039282617343827	0.26663212923778756	81.20379825938514	13.369354814126112	5.426846926488744
