Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Biotype Counts_mqc-generalstats-biotype_counts-percent_rRNA	DupRadar_mqc-generalstats-dupradar-dupRadar_intercept	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	Rsem_mqc-generalstats-rsem-alignable_percent	RSeQC_mqc-generalstats-rseqc-proper_pairs_percent	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
ES11_172_Control-protein_21_1																		81.34690993101482	52.0	50.0	36.36363636363637	48298663.0	0.9167497659303737	80.96703594669833	52.0	49.54969281620071	36.36363636363637	47754146.0
ES11_172_Control-protein_21_2																		76.42252043348694	56.0	50.0	18.181818181818183	48298663.0	2.3117257303789134	77.40064815258977	56.0	49.26483991567978	27.27272727272727	47754146.0
ES12_209_MG-lipid_0	104767489	95178815	0.4425968868344636	2.90070146547704e-12	1.34	43181169.0	88.3788466815289	78.58841973391192	85.63065711306189	41113379	0.002151539	8742583.0	86436232.0	90.01438855873496	89.93743560654983	0.4434974401328755	96024906.0											
ES12_209_MG-lipid_0_1																		82.18428210460978	53.0	50.0	27.27272727272727	48405960.0	0.8803686983999491	81.8183295013848	53.0	49.56768630421778	27.27272727272727	48012453.0
ES12_209_MG-lipid_0_2																		78.45807999949756	56.0	50.0	27.27272727272727	48405960.0	1.8944285786295738	79.20440094134665	57.0	49.35685850085602	36.36363636363637	48012453.0
ES13_209_MG-lipid_14	103940610	93542584	0.6615555338090128	2.90070146547664e-12	1.33	42207808.0	87.15454378293825	77.03697332544036	84.01562525749904	39866787	0.002539694	9037342.0	84505242.0	89.04355327363437	88.94911395464274	0.3834272598494711	94903268.0											
ES13_209_MG-lipid_14_1																		80.40448308418202	53.0	50.0	27.27272727272727	47878628.0	0.900613150401887	79.99189738124349	53.0	49.5618285347139	27.27272727272727	47451634.0
ES13_209_MG-lipid_14_2																		76.32448035416627	56.0	50.0	18.181818181818183	47878628.0	2.0023295989183314	76.97467221369286	56.0	49.33161448138962	27.27272727272727	47451634.0
ES14_209_MG-lipid_21	87322400	78805219	0.5640228260142403	2.9007014654769e-12	1.33	35511004.0	87.4139703531718	77.3991117972021	84.61933677166678	33681038	0.002257022	7716392.0	71088827.0	89.30083141463393	89.21689428265263	0.47355219721606945	79606008.0											
ES14_209_MG-lipid_21_1																		80.5491594670375	53.0	50.0	27.27272727272727	40169252.0	0.8896644129694025	80.18870426640044	53.0	49.56398655237177	27.27272727272727	39803004.0
ES14_209_MG-lipid_21_2																		76.06287030952514	56.0	50.0	18.181818181818183	40169252.0	1.998673562554762	76.84054413139154	57.0	49.34238390650113	27.27272727272727	39803004.0
ES15_601_Control-protein_14	97039727	86562272	0.2888206987926603	2.90070146547696e-12	1.39	39081378.0	86.13406820249962	76.64994976748028	82.49830343525343	36603730	0.001712105	8301587.0	78260685.0	88.19283906559231	88.0824817829177	0.46500974665459516	88738140.0											
ES15_601_Control-protein_14_1																		81.35721687428696	53.0	50.0	36.36363636363637	44752398.0	0.8845628339290333	80.9576637770441	53.0	49.56212679238037	36.36363636363637	44369070.0
ES15_601_Control-protein_14_2																		77.44396961061283	57.0	50.0	18.181818181818183	44752398.0	2.0328701045249016	78.01147936472819	57.0	49.30485687439471	27.27272727272727	44369070.0
