Sample	x	y
ES100_SEM19.140_Control.lipid_0	-3.32344875634838	2.54807916050037
ES101_SEM19.140_Control.lipid_14	-3.10161790659323	3.04439218409042
ES102_SEM19.140_Control.lipid_21	-1.36609664210611	3.36820790412709
ES103_625_Control.lipid_0	6.33891272240697	-12.1239555827294
ES104_625_Control.lipid_14	3.8146458252961	-7.96249143301318
ES105_625_Control.lipid_21	6.51481828585504	-10.5293982631553
ES10_172_Control.protein_14	0.89661838191256	2.50656724337053
ES11_172_Control.protein_21	1.35043852181027	1.54947444498039
ES12_209_MG.lipid_0	8.92503186225185	-12.1182094413416
ES13_209_MG.lipid_14	6.08254795491807	-16.5935267552049
ES14_209_MG.lipid_21	3.23951148679161	-11.8975417218305
ES15_601_Control.protein_14	-1.45897284890333	13.0627847978347
ES16_601_Control.protein_21	-5.50824192212855	13.6791176144203
ES17_615_Control.protein_0	12.9426680075101	-15.3808411747226
ES18_615_Control.protein_14	15.0083782297314	-18.5229104182632
ES19_615_Control.protein_21	2.54019912678233	8.08146471005827
ES1_48_Control.lipid_0	1.0777204882797	4.05184029066946
ES20_618_Control.lipid_0	2.45999977862098	8.55627731091288
ES21_618_Control.lipid_14	1.48387809346989	8.25615754192739
ES22_618_Control.lipid_21	0.10237400053981	7.97204172505628
ES23_Blue.010_Control.lipid_0	4.63863021829967	-8.14046722966602
ES24_Blue.010_Control.lipid_21	0.107625709037005	0.73865010961716
ES25_619_MG.lipid_0	5.30991571573349	-7.63268687356995
ES26_619_MG.lipid_14	5.7224001238038	-9.41155226000242
ES27_619_MG.lipid_21	6.7363252208532	-6.40101115193745
ES28_Blue.098_Control.lipid_0	-5.84444356031076	16.7271881839145
ES29_Blue.098_Control.lipid_14	-3.51974422291074	15.7964356798953
ES2_48_Control.lipid_14	-0.702995527798495	3.95697765122526
ES30_Blue.098_Control.lipid_21	-4.84822965509045	17.0747638311236
ES31_Blue.055_NA_0	-4.41138175499992	11.4719025859526
ES32_Blue.055_NA_14	3.67311000245281	8.65873148869741
ES33_101.LS_MG.lipid_0	-5.17901270060224	16.4571060174586
ES34_101.LS_MG.lipid_14	-6.40587589122997	13.1350753443588
ES35_101.LS_MG.lipid_21	-9.85937014581165	15.8268431362221
ES36_AR17.21_MG.lipid_0	-3.59811442962528	12.2732076823994
ES37_AR17.21_MG.lipid_14	-4.53236705949347	13.8786819775096
ES38_AR17.21_MG.lipid_21	3.63426955773584	12.2089499310808
ES39_LD19.239_MG.lipid_14	12.842167943296	-13.9778469903233
ES3_48_Control.lipid_21	-1.64358792018528	4.98193772685478
ES40_LD19.239_MG.lipid_21	8.77208651443025	-10.7044128620978
ES41_Blue.013_Control.protein_0	8.14180793016205	-12.8542172126063
ES42_Blue.013_Control.protein_14	9.92500273409603	-15.0905025045902
ES43_Blue.013_Control.protein_21	8.94368856960226	-12.8907119436612
ES44_Blue.015_MG.lipid_0	3.54959739536242	-2.75909816050305
ES45_Blue.015_MG.lipid_14	2.89805587497632	-5.11224523090345
ES46_Blue.015_MG.lipid_21	3.88776378019604	-5.73254621380678
ES47_Blue.45_MG.protein_0	3.5813802220111	-3.37304116277728
ES48_Blue.45_MG.protein_14	-1.80869999710707	0.788384952546043
ES49_Blue.024_Control.protein_0	-5.22396161944998	11.6049893094883
ES4_164_Control.protein_0	7.72806156720392	-18.7889451428337
ES50_Blue.024_Control.protein_14	-10.0275779672181	12.2914082920563
ES51_Blue.024_Control.protein_21	-9.98744308271751	13.9615599724827
ES52_SEM19.1481_MG.lipid_14	7.17813040563427	-13.5417034844585
ES53_SEM19.74_MG.protein_0	4.02091380691093	2.54743785559592
ES54_SEM19.74_MG.protein_14	-0.372498336819434	8.64891500836989
ES55_SEM19.74_MG.protein_21	0.294539553692578	7.29521552494542
ES56_Blue.050_Control.lipid_21	-7.10499001460532	15.8534889179376
ES57_Blue.031_MG.lipid_0	-4.60848341998055	12.8656754463127
ES58_Blue.032_MG.protein_0	0.159096246175307	12.7196371716205
ES59_Blue.032_MG.protein_14	-4.4667605660349	14.4853716898708
ES5_164_Control.protein_14	8.12465428840255	-17.0924620194381
ES60_Blue.032_MG.protein_21	-3.22349709615747	13.0151482625901
ES61_Blue.035_MG.protein_0	7.46633570665119	-8.98115972517997
ES62_Blue.035_MG.protein_14	6.06998262548964	-9.69449873044046
ES63_Blue.035_MG.protein_21	9.85652460828827	-10.1960298611647
ES64_SEM19.1481_MG.lipid_21	5.94361917322833	-13.0737937716311
ES65_106_NA_0	0.382295768508068	3.1604618698714
ES66_617_Control.protein_14	-3.88804211367768	4.90666530194454
ES67_Blue.037_MG.protein_0	2.92560962813187	-9.80511202896512
ES68_Blue.037_MG.protein_14	1.11060269498989	-17.5662395542608
ES69_Blue.037_MG.protein_21	10.9255998916738	-14.9848146354285
ES6_164_Control.protein_21	11.0431300878025	-19.0617126125624
ES70_Blue.039_Control.lipid_0	1.94407560383331	10.2589870540595
ES71_Blue.039_Control.lipid_14	0.563508935724629	8.55698243584432
ES72_Blue.039_Control.lipid_21	-1.27786060492168	10.9971556747062
ES73_Blue.042_MG.protein_0	-5.36815072737611	11.5131904573986
ES74_Blue.042_MG.protein_14	-5.85433237488711	13.5627184045097
ES75_Blue.042_MG.protein_21	-7.26443786562319	12.3977659575815
ES76_Blue.043_MG.lipid_0	7.4115143965772	-7.1657063565714
ES77_Blue.043_MG.lipid_14	7.75004398116237	-10.7895403717518
ES78_Blue.043_MG.lipid_21	13.2621628872915	-7.95104786604086
ES79_Blue.050_Control.lipid_0	-4.99755326046053	13.2162123577295
