Sample	Unalignable	Alignable	Filtered	Total	alignable_percent	Unique	Multi	Uncertain
ES62_Blue-035_MG-protein_14	5428771	31439146	0	36867917	85.2750807700907	31264395	174751	11105501
ES63_Blue-035_MG-protein_21	4948905	28741224	0	33690129	85.31051929186737	28572615	168609	10062499
ES64_SEM19-1481_MG-lipid_21	4972959	33776389	0	38749348	87.16634148270056	33596893	179496	10564514
ES65_106_NA_0	5669165	32305289	0	37974454	85.07110859316107	32144567	160722	10118986
ES66_617_Control-protein_14	4982527	30801365	0	35783892	86.0760618213357	30647754	153611	8914943
ES67_Blue-037_MG-protein_0	6137256	29060112	0	35197368	82.56330984748632	28884657	175455	10717771
ES68_Blue-037_MG-protein_14	5119106	26622340	0	31741446	83.87248646454228	26449181	173159	10476118
ES69_Blue-037_MG-protein_21	5790681	27982748	0	33773429	82.85432906442517	27810037	172711	10529248
ES6_164_Control-protein_21	5113031	28951793	0	34064824	84.99029086426513	28775817	175976	11020155
ES70_Blue-039_Control-lipid_0	6348624	39233239	0	45581863	86.07203922314453	39035091	198148	12079173
ES71_Blue-039_Control-lipid_14	4560833	27841654	0	32402487	85.92443536818641	27698985	142669	8633203
ES72_Blue-039_Control-lipid_21	5734546	30256103	0	35990649	84.06656684629388	30102155	153948	9139582
ES73_Blue-042_MG-protein_0	6189606	38054817	0	44244423	86.01042667004609	37862921	191896	11486699
ES74_Blue-042_MG-protein_14	6091868	34636848	0	40728716	85.04281843797875	34449123	187725	11167468
ES75_Blue-042_MG-protein_21	5277747	34775972	0	40053719	86.82332844048763	34597528	178444	10593113
ES76_Blue-043_MG-lipid_0	4896592	29027428	0	33924020	85.5660030857192	28866232	161196	9860897
ES77_Blue-043_MG-lipid_14	5214555	32814278	0	38028833	86.28789108516688	32605457	208821	12473072
ES78_Blue-043_MG-lipid_21	5699620	35497940	0	41197560	86.16515152839149	35280010	217930	13180262
ES79_Blue-050_Control-lipid_0	5539573	25921206	0	31460779	82.39213021394035	25805468	115738	8617107
