ES26_619_MG-lipid_14	4356.0	7440.0	10042.0	12314.0	14279.0	16041.0	17653.0	19171.0	20485.0	21786.0	22976.0	24049.0	25111.0	26085.0	27019.0	27918.0	28739.0	29555.0	30262.0	30993.0
ES27_619_MG-lipid_21	4719.0	7969.0	10635.0	12818.0	14695.0	16386.0	17871.0	19244.0	20512.0	21642.0	22729.0	23686.0	24569.0	25445.0	26261.0	27006.0	27649.0	28266.0	28853.0	29441.0
ES28_Blue-098_Control-lipid_0	6463.0	10868.0	14498.0	17517.0	20341.0	22827.0	25075.0	27068.0	28994.0	30781.0	32425.0	33987.0	35474.0	36866.0	38144.0	39346.0	40456.0	41531.0	42528.0	43483.0
ES29_Blue-098_Control-lipid_14	5636.0	9682.0	12959.0	15816.0	18361.0	20725.0	22755.0	24638.0	26366.0	27893.0	29431.0	30719.0	31965.0	33157.0	34347.0	35419.0	36454.0	37429.0	38297.0	39150.0
ES2_48_Control-lipid_14	4788.0	8176.0	11003.0	13376.0	15499.0	17519.0	19226.0	20834.0	22363.0	23804.0	25094.0	26319.0	27449.0	28613.0	29665.0	30657.0	31635.0	32520.0	33332.0	34139.0
ES30_Blue-098_Control-lipid_21	4084.0	7077.0	9652.0	11865.0	13899.0	15702.0	17339.0	18876.0	20286.0	21527.0	22715.0	23905.0	24995.0	26047.0	26979.0	27880.0	28720.0	29579.0	30329.0	31092.0
ES31_Blue-055_NA_0	4840.0	8271.0	10908.0	13273.0	15422.0	17286.0	18952.0	20473.0	21851.0	23108.0	24266.0	25386.0	26432.0	27384.0	28294.0	29162.0	29944.0	30700.0	31389.0	32101.0
ES32_Blue-055_NA_14	4533.0	7663.0	10393.0	12651.0	14635.0	16447.0	18068.0	19619.0	20979.0	22314.0	23470.0	24586.0	25706.0	26663.0	27559.0	28495.0	29326.0	30141.0	30842.0	31558.0
ES33_101-LS_MG-lipid_0	5461.0	9164.0	12199.0	14831.0	17201.0	19267.0	21128.0	22861.0	24444.0	25893.0	27261.0	28557.0	29757.0	30862.0	31918.0	32891.0	33797.0	34650.0	35489.0	36278.0
ES34_101-LS_MG-lipid_14	5477.0	9299.0	12391.0	15022.0	17397.0	19438.0	21331.0	23086.0	24664.0	26183.0	27502.0	28839.0	30030.0	31134.0	32185.0	33176.0	34160.0	35092.0	35903.0	36732.0
