Sample	NC_066313.1	NC_066314.1	NC_066315.1	NC_066316.1	NC_066317.1	NC_066318.1	NC_066319.1	NC_066320.1	NC_066321.1	NC_066322.1	NC_066323.1	NC_066324.1	NC_066325.1	NC_066326.1	NC_066327.1	NC_066328.1	NC_066329.1	NC_066330.1	NC_066331.1	NC_066332.1	NC_066333.1	NC_066334.1	NC_066335.1	NC_066336.1	NC_066337.1	NC_066338.1	NC_066339.1	NC_066340.1	NC_066341.1	NC_066342.1	NC_066343.1	NW_026108265.1	NW_026108322.1	NW_026108432.1	NW_026108550.1	NW_026108722.1	NC_037521.1
ES7_SEM19-1354_Control-protein_14	17540322	3570607	3630976	2998342	1970433	1443376	3402321	1527438	1103325	1402591	1747686	1576037	1006202	1102353	1651120	17377710	1445026	895975	1084341	975210	1373711	662386	1515380	1408462	417031	3819380	1128320	1283913	1417707	754216	1244386	529477	153761	1027565	359722	891240	147529
ES80_Blue-050_Control-lipid_14	19449090	2709689	3067462	2557753	1862483	1374297	3194173	1282141	871702	1273501	1649439	1595219	1069859	806514	1171521	17171493	1351342	926873	711790	840767	993692	649086	1441660	1200315	314163	3216361	824647	1232188	1333595	755892	1109240	586656	89273	974077	300542	856744	213333
ES81_Blue-047_Control-lipid_0	18864661	3285911	3357338	2665081	1950833	1438935	3464385	1469544	964343	1465857	1791386	1740044	1072976	982166	1511332	18846099	1539566	1046611	874355	1084555	1270448	699881	1591063	1475518	396078	4137923	1203680	1441201	1636178	730436	1223277	438638	131620	860178	273762	774467	156007
ES82_Blue-047_Control-lipid_14	13525300	1979570	1805834	1428221	1099903	812322	2107488	799595	530973	847941	987804	989008	637557	558110	858052	12403541	939645	644530	518552	692065	771015	449693	1126879	975932	243656	2962459	765842	1030144	1119356	378688	619237	212290	103583	585221	176394	518388	68292
ES83_SEM19-1481_MG-lipid_0	17965482	3703999	3398639	3093759	2215332	1408742	3851921	1486631	1122296	1477548	1684145	1676008	1091043	1128114	1529940	19437791	1484101	970174	1265388	1025190	1634095	733466	1696370	1573117	408542	4750131	1423203	1837569	1693676	793233	1212833	324983	273912	907292	293922	802410	288696
ES84_LD19-239_MG-lipid_0	16436575	3772591	3898697	3198547	2173518	1545329	3520342	1591112	1208861	1504108	1782731	1730267	1131831	1226865	1725828	18472519	1561235	999982	1257034	1155784	1632939	737882	1689962	1654097	439651	4487465	1307059	1621924	1724457	726775	1224094	670645	205065	905608	303188	797043	164145
ES85_orange-24_Control-protein_0	16572730	3445449	3334557	2850112	2013696	1497363	3670106	1533629	955169	1515288	1853771	1622408	1092816	1032121	1531117	15449681	1629229	1027502	977061	1160860	1361191	718008	1806272	1534660	440970	4951401	1358302	1735508	1805708	649018	1171041	586434	223703	994840	337363	876640	337054
ES86_orange-24_Control-protein_14	12969070	2711591	2660403	2239600	1586095	1142191	2847897	1162010	717774	1205842	1413115	1256522	856354	794092	1159379	12827751	1265186	817888	731943	890414	1038631	558634	1433194	1168059	331197	3975466	1081181	1343681	1448132	527132	923285	462606	179676	978925	323599	860809	261339
ES87_orange-24_Control-protein_21	16182358	3362948	3254840	2712883	1888341	1417742	3568000	1461860	866106	1488376	1789121	1517244	1064904	976048	1436883	15361631	1557547	1048643	897508	1093962	1255983	656616	1750568	1408352	407618	4629839	1339371	1738973	1802378	670695	1123483	487944	223390	1079069	371305	942596	343148
ES88_610_MG-protein_0	18820590	4056304	3915234	3161183	2308259	1635418	3869579	1517431	1070838	1688467	2006810	1883051	1177448	1098604	1697892	16812365	1800620	1116673	1072642	1210251	1424098	831639	1900262	1739205	515265	5060066	1375495	1667119	2071593	945364	1401493	741860	226916	1116486	332044	1019590	291891
ES89_Blue-049_Control-protein_0	7168	421	2101	1404	656	84	1068	155	190	146	88	96	158	202	96	1540	183	29	96	34	78	26	50	44	135	1144	82	66	44	39	470	4	0	6	2	8	14
ES8_SEM19-1354_Control-protein_21	16542742	3888546	3830064	3280395	2174334	1590924	3732638	1669163	1190290	1560591	1917072	1693233	1122872	1198972	1768383	16606162	1610821	982934	1279197	1079651	1592490	764516	1809975	1608401	466544	4508338	1303452	1545156	1670306	826409	1291893	549246	201458	1105598	386541	967725	145956
ES90_Blue-049_Control-protein_14	17741794	3368756	3215436	2605806	1930653	1433355	3391165	1384735	921302	1468441	1674263	1645479	1009733	908676	1477049	18616813	1527064	898860	803633	1029752	1151412	671771	1625976	1479345	410599	4192598	1203531	1464891	1694199	651992	1208110	337290	170244	1141259	361119	1026112	185955
ES91_Blue-049_Control-protein_21	17213945	3212423	3206264	2610132	1892209	1363056	3222182	1324407	899221	1426289	1636746	1573131	962277	884272	1397971	18915037	1444779	879991	807286	964280	1130641	665154	1546691	1428202	387049	3490670	1156337	1317686	1608066	664982	1172137	370564	152035	850582	288139	746804	187445
ES92_SEM19-76_MG-lipid_0	21755198	3642726	3762324	3116204	2167394	1453628	3497312	1524147	1104877	1529632	1713991	1836578	1030836	1040639	1651491	22390959	1464323	983207	936794	969188	1372320	645376	1546931	1431969	361785	4470572	1298429	1382544	1584122	714306	1335772	585590	186147	1454905	431332	1311338	205484
ES93_SEM19-76_MG-lipid_14	15642996	3953127	3676327	3182216	2304060	1551846	3864513	1548028	1108015	1665731	1970155	1846109	1161368	1087054	1682592	18126988	1681414	1068149	1120213	1110783	1609352	825071	2279798	1817526	419050	4821635	1591702	2091416	2129184	693959	1228914	539852	306260	1061439	349583	937957	169423
ES94_SEM19-76_MG-lipid_21	20187080	3764583	4062874	3320495	2358034	1633171	3735603	1587148	1186695	1564371	1963428	1980607	1098763	1112919	1773307	21311886	1512979	1044365	984738	1007765	1387072	692373	1757233	1506573	364304	4289110	1311497	1516760	1635256	766435	1480729	572839	205891	1339804	433150	1176823	165473
ES95_610_MG-protein_14	15628825	4286814	4110943	3242187	2543076	1825167	4075552	1595552	1122688	1827344	2241004	2112679	1273751	1155027	1825010	16055417	1918478	1229693	1119702	1315242	1536102	966109	2452667	2000843	572288	5423672	1516694	1775098	2303874	1028827	1437008	607484	278887	1041087	340279	932462	203712
ES96_610_MG-protein_21	14596720	3988849	4127449	3535890	2516194	1731277	4065092	1709772	1371558	1753163	2126007	1965996	1250859	1417322	1755213	16086234	1791526	1214729	1709954	1190611	2034367	985487	2360224	1915221	534091	4790140	1474575	1817458	2101044	1006176	1418919	608577	243198	766079	261836	671492	187773
ES97_SEM19-107_MG-protein_0	15773858	4066254	4033026	3501264	2336565	1648598	3901012	1756316	1317193	1653629	2026207	1911498	1176564	1246503	1777939	19267711	1696898	1118240	1590478	1131971	1999121	855361	1884120	1848859	496113	5189358	1477455	1758578	1846332	831734	1339862	485371	239460	1331740	428714	1169057	173550
ES98_SEM19-107_MG-protein_14	15390166	4973016	4970877	4282655	2807043	2067707	5006058	2232110	1721696	2122305	2484566	2236341	1496630	1603742	2186354	16473810	2191688	1327665	2268013	1509389	2609829	1078928	2392524	2412810	665940	6564966	1947007	2772317	2645608	962602	1519519	620615	387047	1318402	422096	1167329	176304
ES99_SEM19-107_MG-protein_21	14980239	3813845	3779196	3244994	2212333	1541968	3812549	1690365	1252014	1591000	1906422	1778672	1123310	1195826	1710809	20735831	1619221	1043754	1549222	1162437	1919819	851384	1841079	1828802	501388	5231336	1497717	1857448	1808888	776501	1279973	480926	242334	1178502	367233	1049809	183184
ES9_172_Control-protein_0	17355281	3613259	3767172	3071753	2135343	1510223	3450447	1513380	1066253	1626112	1820773	1736150	1069695	1071671	1653140	17977714	1511479	1044738	970466	978603	1408322	742688	1610036	1505158	425791	4938009	1251467	1333868	1615890	859207	1284141	522351	143487	1853094	645619	1607115	316136
