Sample	NC_066313.1	NC_066314.1	NC_066315.1	NC_066316.1	NC_066317.1	NC_066318.1	NC_066319.1	NC_066320.1	NC_066321.1	NC_066322.1	NC_066323.1	NC_066324.1	NC_066325.1	NC_066326.1	NC_066327.1	NC_066328.1	NC_066329.1	NC_066330.1	NC_066331.1	NC_066332.1	NC_066333.1	NC_066334.1	NC_066335.1	NC_066336.1	NC_066337.1	NC_066338.1	NC_066339.1	NC_066340.1	NC_066341.1	NC_066342.1	NC_066343.1	NW_026108265.1	NW_026108322.1	NW_026108432.1	NW_026108550.1	NW_026108722.1	NC_037521.1
ES3_48_Control-lipid_21	16599984	3317018	3336524	2680249	1960650	1371349	3262748	1370058	948139	1451534	1807967	1605151	1012260	943126	1537470	16238722	1465759	974745	908861	1038279	1274510	676141	1544677	1501390	380022	3865403	1174047	1349552	1672276	674396	1215753	349091	136309	961655	326987	835259	110336
ES40_LD19-239_MG-lipid_21	18781779	4372479	4398830	3576482	2490233	1847380	4177006	1877695	1380529	1710098	2100917	2002002	1308155	1395006	2045451	18649640	1804328	1134291	1423337	1399331	1830434	851188	1942822	1918469	527394	5284270	1515382	1964629	2006882	829852	1419766	718737	229009	1032760	356329	890678	195604
ES41_Blue-013_Control-protein_0	18438682	3847305	4187933	3490329	2343556	1582158	3715925	1666010	1243901	1481827	1921187	1858285	1092534	1291688	1735861	21622391	1598873	975107	1397373	1083933	1739405	773964	1705532	1787767	467632	4329017	1271966	1512663	1671411	658898	1396470	480488	179759	854895	293237	749010	181041
ES42_Blue-013_Control-protein_14	14244282	3695061	3936435	3410783	2334416	1664103	3622374	1685950	1299128	1499006	1974357	1827326	1113301	1309101	1665622	13588847	1570960	989885	1520309	1077844	1794920	820036	1752431	1758968	474381	4787308	1251640	1464728	1640460	653674	1353052	377681	197236	1227691	414176	1074328	109827
ES43_Blue-013_Control-protein_21	16935115	3841279	4214687	3536060	2407817	1634742	3692665	1662579	1299050	1549629	2019027	1877835	1127434	1304049	1699101	17474132	1584727	1011962	1495641	1028568	1772551	810769	1744861	1774392	438487	4112276	1283797	1520633	1722976	640139	1407002	341872	182428	758023	262615	656818	117565
ES44_Blue-015_MG-lipid_0	16660466	4170254	4330790	3559666	2570468	1841610	4140563	1808924	1216640	1736630	2292578	1996624	1239254	1328844	1780808	15457093	1805841	1135445	1305702	1303700	1724516	872899	2153323	1892823	517659	5388696	1394679	1765006	2098174	909584	1467245	577217	217552	1280137	407110	1130647	129289
ES45_Blue-015_MG-lipid_14	19286908	4554555	5097634	4161435	2847359	2062393	4491987	2007789	1409608	1916910	2481335	2207839	1326811	1462031	1943241	17972105	1902381	1221359	1472169	1283510	1897335	876968	2063869	1896509	527416	5751763	1487462	1725726	2183924	901368	1650397	658324	227104	1774875	558999	1560025	130351
ES46_Blue-015_MG-lipid_21	14947195	3994674	4426760	3538155	2516062	1947353	4050795	1901465	1242405	1653800	2267849	1981027	1214650	1335637	1806024	12875590	1719341	1092258	1357254	1310486	1683879	770473	1876112	1700410	509058	4794714	1259140	1615586	1824487	805132	1520596	556029	183443	1045605	343540	911120	103443
ES47_Blue-45_MG-protein_0	13550803	3671395	3696910	3083147	2171173	1638671	3773434	1742002	1125544	1650274	2009669	1834492	1212864	1140410	1705513	12872962	1718286	1041972	1135392	1126479	1597591	817732	2063430	1714128	475774	4751660	1358575	1779422	1857951	702392	1250389	635239	214477	778881	268170	674959	187190
ES48_Blue-45_MG-protein_14	15141803	3795218	3858373	3047220	2249672	1648751	3870668	1666243	1120364	1667584	2011828	1873695	1231138	1137245	1722468	13565723	1720084	1064996	1116001	1171263	1552909	774718	2126897	1822032	463239	4936550	1388317	1883437	2092420	625457	1266725	520009	243657	916711	312867	808519	158341
ES49_Blue-024_Control-protein_0	18871637	3158534	3323931	2615758	1846875	1303496	3219395	1306760	865190	1396763	1640556	1484843	971314	955066	1358026	21536330	1398243	877112	759064	928326	1155643	584751	1460688	1274616	356479	3447637	1153836	1272441	1554910	901783	1233589	424567	152303	803921	274026	701556	259369
ES4_164_Control-protein_0	16433033	3430570	3540523	3182360	2000855	1331478	3207455	1410483	1111947	1338857	1623673	1671759	974090	1206352	1496366	19259927	1323604	847703	1415850	985408	1652269	677811	1561911	1580603	382312	4697050	1149349	1617529	1585187	635902	1066787	550728	232798	1043359	329314	925530	180725
ES50_Blue-024_Control-protein_14	15988935	2949463	3075862	2374854	1747130	1240272	3009600	1223238	808415	1276448	1601858	1443331	921373	865216	1289465	16973578	1312895	809544	684059	889283	1090885	562228	1420734	1230871	332263	3197171	1063691	1210659	1453789	745012	1159694	363015	147764	619874	205647	540379	174651
ES51_Blue-024_Control-protein_21	15677557	2963565	2938381	2229387	1683811	1176541	2855086	1148841	772421	1261837	1514720	1374624	890989	839247	1265315	17040553	1293804	786079	662701	863157	999883	556729	1518010	1222691	324077	3149742	1061652	1229890	1503405	728828	1026410	315897	173184	594050	201679	515379	150382
ES52_SEM19-1481_MG-lipid_14	16123962	3645164	3506693	3116035	2206969	1441778	3754106	1522468	1132991	1468360	1735719	1669818	1081606	1109033	1549807	17785599	1474684	930379	1175198	1013749	1568849	716551	1604721	1529433	413556	4542217	1342308	1675497	1614602	767868	1253070	334673	234363	950510	320800	824996	248968
ES53_SEM19-74_MG-protein_0	17171973	3291860	3329739	2726385	1895428	1407730	3171968	1367225	967854	1473814	1691842	1652137	956231	953775	1448266	16251252	1390482	883988	848698	920404	1234401	614814	1372583	1282589	371582	3394713	1121199	1144215	1385952	677054	1187408	450091	118938	784109	260445	699040	270085
ES54_SEM19-74_MG-protein_14	17686960	3361412	3626599	2837253	1955600	1460529	3332890	1438660	966795	1528185	1723181	1652191	1009479	998746	1501622	17875431	1449471	941218	844219	983905	1222894	623293	1379303	1319976	379369	3215368	1174461	1192247	1417652	783298	1251623	391457	112381	840052	282765	732013	248281
ES55_SEM19-74_MG-protein_21	14152611	3132146	3240589	2543145	1832928	1380297	2985251	1311773	876313	1408854	1635725	1543637	939277	919388	1417575	16295527	1369435	857664	761835	909087	1106361	564122	1231227	1174392	347526	3526308	1029615	1061112	1336651	644514	1157331	338796	103580	1193666	408916	1037906	184118
ES56_Blue-050_Control-lipid_21	20202417	3094650	3269393	2746303	2036302	1449634	3638123	1382286	919806	1464113	1852943	1753503	1166322	882914	1343389	20129904	1588579	1057090	854369	1017312	1160189	854020	1976987	1593406	403416	3949408	1059441	1676658	1767064	875598	1107851	704888	139269	979536	312344	871032	248284
ES57_Blue-031_MG-lipid_0	22987296	3719057	3861438	3170488	2229807	1680726	4085376	1605816	1068138	1687892	2072844	1931935	1191307	1141694	1739458	23266870	1740846	1165460	1021780	1261943	1437033	791742	1771513	1722013	459035	4278877	1317166	1568315	1882959	982970	1400804	585499	161881	1052691	356182	939449	255887
ES58_Blue-032_MG-protein_0	18896983	3846267	3708503	3079793	2214176	1629981	3876275	1673264	1066967	1717505	2013875	1927602	1227313	1143921	1656825	21032257	1758650	1083667	1036985	1230289	1453587	809021	1783303	1674031	484117	4651193	1329499	1612363	1809996	920637	1425813	575027	154118	1383371	466983	1207913	409148
ES59_Blue-032_MG-protein_14	18319816	3712577	3755952	3011379	2221451	1716774	3840839	1667760	1067152	1677520	2013259	1960161	1209236	1123977	1703997	18560258	1722586	1102686	951560	1160943	1378751	744842	1676219	1625790	446198	3647525	1224996	1459381	1702816	921335	1423629	461852	133086	795500	271090	694299	305402
ES5_164_Control-protein_14	13295944	3406459	3351335	3016355	2007549	1405077	3324423	1415708	1073120	1372646	1668617	1649544	1015833	1149516	1498796	15007431	1383201	872756	1364899	1038755	1631710	716703	1686176	1602589	405292	4829054	1214658	1761242	1683423	657558	1051293	580351	239640	961331	320570	847360	182746
ES60_Blue-032_MG-protein_21	15928069	3382295	3406964	2762803	2023275	1487545	3410938	1469942	953931	1511403	1810046	1752050	1065230	1019898	1526438	16198925	1527953	973803	890781	1041632	1240013	714490	1594342	1508082	415265	3286416	1143457	1310481	1543854	872990	1296657	413014	127524	689801	234444	596029	296688
ES61_Blue-035_MG-protein_0	13302397	3314320	3297045	2796526	1889820	1402067	3159101	1467502	988500	1348841	1787505	1581072	974720	994495	1466508	12627578	1374140	861295	1112786	957343	1448320	728792	1718556	1472333	431351	3908311	1169391	1520398	1540219	672920	1071249	484424	209489	775349	266510	671381	139748
ES62_Blue-035_MG-protein_14	15299214	3677420	3623358	3058424	2136110	1509060	3500108	1573060	1101007	1532627	1926659	1771015	1106645	1120137	1621233	14671126	1564366	950782	1294367	1071777	1661920	847209	2009570	1725043	471770	4538960	1320615	1782095	1810369	649685	1160049	439280	259875	857265	281081	749090	121928
