x y r gene
eye_score IREB2 0.032252584758752624 IREB2
eye_score LOC115484660 0.03244269348815398 LOC115484660
LOC103827196 eye_score 0.033042968216545045 LOC103827196
IL6R eye_score 0.03379715030395301 IL6R
PTAFR eye_score 0.03391311078561797 PTAFR
TNFRSF1A eye_score 0.03430959289304215 TNFRSF1A
LOC108963213 eye_score 0.035307131813314824 LOC108963213
SLC25A32 eye_score 0.036209764200433 SLC25A32
PSTPIP2 eye_score 0.03755460269642129 PSTPIP2
eye_score LOC103825501 0.038404083835342724 LOC103825501
SRSF6 eye_score 0.03847463002135481 SRSF6
LOC103822460 eye_score 0.038517600231378686 LOC103822460
eye_score LOC115483949 0.038580587791999896 LOC115483949
TRIM2 eye_score 0.03906226296626101 TRIM2
RHOG eye_score 0.03942444006278448 RHOG
MPEG1 eye_score 0.041773111194073904 MPEG1
ARF3 eye_score 0.041830058664089335 ARF3
CTSC eye_score 0.043036398044334755 CTSC
eye_score GPS1 0.04341795968305853 GPS1
eye_score TOB2 0.04366529924645017 TOB2
CD9 eye_score 0.043710835773196496 CD9
eye_score GTPBP1 0.04491295738804716 GTPBP1
LOC103821914 eye_score 0.04509991661983842 LOC103821914
eye_score AQP3 0.04553039000652054 AQP3
RPS6KA3 eye_score 0.045540116361905046 RPS6KA3
LYSMD4 eye_score 0.04612819621499979 LYSMD4
XK eye_score 0.046199558131450255 XK
eye_score LOC108964206 0.046350178330526334 LOC108964206
eye_score UCKL1 0.04669297357659372 UCKL1
LOC115485204 eye_score 0.04673894403108406 LOC115485204
IQGAP2 eye_score 0.04687434860356604 IQGAP2
eye_score MITF 0.047481567215466404 MITF
DNASE2B eye_score 0.04807144275189999 DNASE2B
eye_score ABHD6 0.048447874018700925 ABHD6
ALCAM eye_score 0.04861777476615639 ALCAM
ENO1 eye_score 0.04959318770635852 ENO1
ARAP1 eye_score 0.049949438010770196 ARAP1
XDH eye_score 0.05052943721402641 XDH
ALDH7A1 eye_score 0.051581540142004195 ALDH7A1
CLUH eye_score 0.05229275338598654 CLUH
MPLKIP eye_score 0.05250458714490268 MPLKIP
eye_score LOC103821297 0.053338897604757095 LOC103821297
LYSMD2 eye_score 0.054044668612576174 LYSMD2
LRPPRC eye_score 0.054083262894288164 LRPPRC
LITAF eye_score 0.0544722293183162 LITAF
PPP1CA eye_score 0.05449107247869976 PPP1CA
eye_score SIRT3 0.05484272633510869 SIRT3
MRPL24 eye_score 0.055504479006603054 MRPL24
OAT eye_score 0.05594054323368298 OAT
ADK eye_score 0.05612063042332149 ADK
GLDC eye_score 0.05840105790605552 GLDC
PGM2 eye_score 0.058404050086788374 PGM2
ACOD1 eye_score 0.05855460820192235 ACOD1
EPAS1 eye_score 0.05890502728369892 EPAS1
LOC108963017 eye_score 0.058928025311807276 LOC108963017
eye_score JMJD1C 0.05898201369635382 JMJD1C
LOC103815785 eye_score 0.059753887515137466 LOC103815785
eye_score SIRT1 0.059837584356852984 SIRT1
COMTD1 eye_score 0.06105411985763079 COMTD1
CFH eye_score 0.06106725305948452 CFH
eye_score VPS13B 0.06107112389605245 VPS13B
IL1RAP eye_score 0.061621036146437914 IL1RAP
eye_score ING3 0.06181773200142615 ING3
LPCAT3 eye_score 0.06229076027339787 LPCAT3
RAP1GAP2 eye_score 0.06287816543717607 RAP1GAP2
eye_score LOC115485070 0.06356467986087475 LOC115485070
HMBS eye_score 0.06387810212522448 HMBS
TUBB6 eye_score 0.06397067765500848 TUBB6
eye_score LOC115484628 0.065726959466071 LOC115484628
MOB3A eye_score 0.06580833672114589 MOB3A
CDC14B eye_score 0.06635966362080145 CDC14B
eye_score LOC115484926 0.06674537242570505 LOC115484926
SKAP2 eye_score 0.06687237184108535 SKAP2
eye_score JADE2 0.06691105479284552 JADE2
TKT eye_score 0.0672686155316303 TKT
eye_score ARHGEF12 0.06751208183757769 ARHGEF12
ZNF710 eye_score 0.06834766758290407 ZNF710
BST1 eye_score 0.06906492616115875 BST1
ADAM19 eye_score 0.06908599998732382 ADAM19
KBTBD11 eye_score 0.07072624875787452 KBTBD11
CIDEA eye_score 0.0720618745011392 CIDEA
SUMF2 eye_score 0.07248565096031885 SUMF2
SLC2A6 eye_score 0.07424294298273866 SLC2A6
SHISA5 eye_score 0.07440075951935719 SHISA5
YWHAQ eye_score 0.0751038081160372 YWHAQ
GMFB eye_score 0.07552895000489555 GMFB
EGR1 eye_score 0.07642066045742571 EGR1
TRAPPC6B eye_score 0.0779381147021136 TRAPPC6B
LOC108962189 eye_score 0.0781443466551275 LOC108962189
NSUN5 eye_score 0.07860898742032849 NSUN5
FAR1 eye_score 0.07884244072633419 FAR1
eye_score SF3B3 0.07898393063350836 SF3B3
GTPBP10 eye_score 0.08022354778106348 GTPBP10
TMEM263 eye_score 0.08086970559567999 TMEM263
eye_score RRAGC 0.0813913088581368 RRAGC
NCF4 eye_score 0.08284438960183671 NCF4
CDKN3 eye_score 0.08327717634796006 CDKN3
SEPTIN5 eye_score 0.08462679937843517 SEPTIN5
eye_score LOC108961320 0.085144766277522 LOC108961320
eye_score SOX6 0.08548432971530669 SOX6
eye_score UCK1 0.08733447122255757 UCK1
LOC103813349 eye_score 0.08748184425590906 LOC103813349
MECR eye_score 0.08906766546342827 MECR
CCT3 eye_score 0.08960278189767246 CCT3
LOC103825247 eye_score 0.0898093026118664 LOC103825247
eye_score PYGO2 0.09035385851361691 PYGO2
eye_score HAGH 0.09303741089089053 HAGH
VIM eye_score 0.09337405228017344 VIM
eye_score JOSD1 0.09410787289159339 JOSD1
PLOD2 eye_score 0.0957258618413491 PLOD2
eye_score MED22 0.09744465965284299 MED22
RETSAT eye_score 0.09744588408514496 RETSAT
eye_score EIF1AX 0.09745895076326869 EIF1AX
TLR4 eye_score 0.0983447624821852 TLR4
eye_score PELI2 0.09911609385405219 PELI2
eye_score DCP1A 0.0994460307269368 DCP1A
CNIH1 eye_score 0.09996733142276369 CNIH1
RCN2 eye_score 0.10027672322515645 RCN2
eye_score OPA1 0.1008147617500217 OPA1
eye_score FZD6 0.1009238325325889 FZD6
LOC115484191 eye_score 0.10202546380578134 LOC115484191
MTERF4 eye_score 0.102439326748425 MTERF4
CD80 eye_score 0.10272538080289642 CD80
eye_score ANP32A 0.10291549078519667 ANP32A
EIF3D eye_score 0.104311556572342 EIF3D
EEF1A1 eye_score 0.1047828085539008 EEF1A1
eye_score SSBP3 0.10568137591749706 SSBP3
ADD3 eye_score 0.10747751532148053 ADD3
POP5 eye_score 0.10796353032465003 POP5
ACSBG2 eye_score 0.11003594385341094 ACSBG2
eye_score ZNF821 0.11098703246515274 ZNF821
MRPS24 eye_score 0.11112185476466785 MRPS24
RNPEP eye_score 0.11136591360805513 RNPEP
YBX1 eye_score 0.11140365692224279 YBX1
DUS1L eye_score 0.11155687244342996 DUS1L
eye_score SECISBP2 0.11181667874323922 SECISBP2
HEBP1 eye_score 0.11209661042716083 HEBP1
eye_score RUBCN 0.11272021222966973 RUBCN
C3 eye_score 0.11273651183701025 C3
SSR3 eye_score 0.11348022080072198 SSR3
CSF3R eye_score 0.1151225799283288 CSF3R
EEF2 eye_score 0.11580083824718537 EEF2
eye_score WBP4 0.11606163797253105 WBP4
RHOQ eye_score 0.11620066200826519 RHOQ
GM2A eye_score 0.11644510357130328 GM2A
eye_score TSPAN5 0.11769686535016613 TSPAN5
eye_score SNAP47 0.11773400977228592 SNAP47
eye_score ESS2 0.11824326933825986 ESS2
DMAP1 eye_score 0.11834156278212636 DMAP1
QSOX1 eye_score 0.11930896592033174 QSOX1
eye_score PRPF3 0.11957777976792737 PRPF3
eye_score POLG2 0.12000286039939924 POLG2
LOC115483831 eye_score 0.12216309153234871 LOC115483831
CAMKK2 eye_score 0.12221749455361909 CAMKK2
PACSIN3 eye_score 0.122777349065662 PACSIN3
LOC103823355 eye_score 0.12300409233607064 LOC103823355
SLC46A1 eye_score 0.1230588321726063 SLC46A1
PRR18 eye_score 0.1237553066960209 PRR18
eye_score LOC108964334 0.12427834682775082 LOC108964334
LOC103824755 eye_score 0.12455700380231774 LOC103824755
MICOS13 eye_score 0.12535304558848606 MICOS13
ERLEC1 eye_score 0.12584266163708147 ERLEC1
APP eye_score 0.12608950360758986 APP
TLL2 eye_score 0.12621359702929905 TLL2
ERO1A eye_score 0.12884820488573323 ERO1A
UBE2J2 eye_score 0.12971547566185598 UBE2J2
eye_score SUSD3 0.13040232949264827 SUSD3
ACSF2 eye_score 0.13058089186530392 ACSF2
LOC108964492 eye_score 0.130615226624299 LOC108964492
TERF2 eye_score 0.1309476283055937 TERF2
TMEM173 eye_score 0.13130021557215274 TMEM173
LOC103813437 eye_score 0.13303446865860846 LOC103813437
eye_score MMGT1 0.13333996088033523 MMGT1
eye_score RC3H2 0.13334150148556292 RC3H2
eye_score CCDC43 0.13378503234567735 CCDC43
PLEKHA2 eye_score 0.13407096379233727 PLEKHA2
eye_score BRCA1 0.13410832128809141 BRCA1
SSBP2 eye_score 0.13479581311545083 SSBP2
eye_score LOC108963665 0.1352014543032451 LOC108963665
FN1 eye_score 0.13596692146112332 FN1
eye_score MAPK8IP3 0.13758305786957603 MAPK8IP3
MEMO1 eye_score 0.13808732597855267 MEMO1
MALL eye_score 0.13877315908563545 MALL
HCK eye_score 0.13887608533605428 HCK
LOC115485293 eye_score 0.13910464894313063 LOC115485293
LOC108962991 eye_score 0.13911834940597664 LOC108962991
PRCP eye_score 0.1408224472810249 PRCP
LOC103821206 eye_score 0.14157140256120218 LOC103821206
eye_score KMT5B 0.14302771250948543 KMT5B
CUNH7orf25 eye_score 0.14313722361032968 CUNH7orf25
MARCHF8 eye_score 0.14438664630387035 MARCHF8
eye_score ZFAND2B 0.14469819677011958 ZFAND2B
eye_score LOC103822940 0.14470665283885303 LOC103822940
eye_score NID2 0.14530667993674892 NID2
TM6SF1 eye_score 0.1454657059172922 TM6SF1
AMMECR1 eye_score 0.1462514748870094 AMMECR1
RBM47 eye_score 0.1462694860670993 RBM47
HRAS eye_score 0.1469406353899532 HRAS
FAM78A eye_score 0.1471655133947633 FAM78A
PGK1 eye_score 0.14765015198481005 PGK1
eye_score PXMP4 0.1479723257675003 PXMP4
LYRM9 eye_score 0.1485220063423639 LYRM9
RNASEH1 eye_score 0.1492511340401066 RNASEH1
eye_score LOC103823813 0.14963057683866327 LOC103823813
eye_score GALNS 0.14995013271443097 GALNS
HSP90B1 eye_score 0.15024941640324435 HSP90B1
TUBB1 eye_score 0.1512099642021832 TUBB1
eye_score METAP2 0.15138008614653783 METAP2
LPCAT2 eye_score 0.15139435015847327 LPCAT2
APOBEC2 eye_score 0.15219512405328486 APOBEC2
GNG12 eye_score 0.15266307109167102 GNG12
WDR3 eye_score 0.15281278672899348 WDR3
FUT7 eye_score 0.1528192636858118 FUT7
STOM eye_score 0.15388917199491114 STOM
SLC37A2 eye_score 0.15426853278998554 SLC37A2
LOC108962393 eye_score 0.15437842972879778 LOC108962393
eye_score YPEL1 0.15520195075213045 YPEL1
PTRHD1 eye_score 0.155228076529996 PTRHD1
DOCK11 eye_score 0.15575607859941043 DOCK11
LOC103813439 eye_score 0.15609792425331476 LOC103813439
SDF2L1 eye_score 0.15613425047541807 SDF2L1
CRELD2 eye_score 0.157115715151384 CRELD2
CD40 eye_score 0.1572283987842989 CD40
PHB eye_score 0.15816313008200586 PHB
NOTCH2 eye_score 0.15834646043456566 NOTCH2
LOC103826085 eye_score 0.1586783737550468 LOC103826085
eye_score ADD1 0.15907951556477032 ADD1
EXOG eye_score 0.15911588384675268 EXOG
KCTD12 eye_score 0.1599999827131483 KCTD12
eye_score LMBR1 0.16072580847216347 LMBR1
CD101 eye_score 0.16081472237519978 CD101
PLEKHO2 eye_score 0.16085408793871986 PLEKHO2
CUNH1orf226 eye_score 0.1611269246693107 CUNH1orf226
eye_score RTRAF 0.16147022658247226 RTRAF
eye_score LXN 0.16282755870869095 LXN
eye_score DPM1 0.16298339730189382 DPM1
TIMP2 eye_score 0.16347188928560594 TIMP2
ANGPT1 eye_score 0.16380647648843932 ANGPT1
LOC108964067 eye_score 0.16395993942670065 LOC108964067
TWF2 eye_score 0.16538307826142704 TWF2
eye_score LOC103812828 0.16574750148014708 LOC103812828
SRPK2 eye_score 0.16595581896078557 SRPK2
eye_score TOR1A 0.1660890322343636 TOR1A
LOC103816278 eye_score 0.16643893696918732 LOC103816278
BLNK eye_score 0.16662862233129927 BLNK
LOC103826768 eye_score 0.16673875127067808 LOC103826768
eye_score GABPA 0.1668175691093193 GABPA
SGSH eye_score 0.16729429583700361 SGSH
eye_score LOC108963607 0.16734718022172518 LOC108963607
eye_score LOC115485455 0.1675562899063946 LOC115485455
eye_score LOC115485216 0.1677002881234611 LOC115485216
eye_score LOC103825388 0.16822197571340552 LOC103825388
COPS2 eye_score 0.16861595870901414 COPS2
HSPA5 eye_score 0.16957267321176048 HSPA5
eye_score LOC103826819 0.16983853290452017 LOC103826819
eye_score CUNH17orf80 0.17024141306844534 CUNH17orf80
SUN2 eye_score 0.17034891703642474 SUN2
CARHSP1 eye_score 0.1712546521953044 CARHSP1
eye_score TUBG1 0.17255356307906974 TUBG1
SMPDL3A eye_score 0.17277066100470878 SMPDL3A
BTF3 eye_score 0.17314384078505982 BTF3
eye_score BCORL1 0.17488226778971722 BCORL1
FKBP11 eye_score 0.17495766834416643 FKBP11
CORO7 eye_score 0.17527293619017553 CORO7
eye_score CNTF 0.17652087951943712 CNTF
PDIA4 eye_score 0.1766648661205931 PDIA4
eye_score CUNH11orf58 0.17670035709206758 CUNH11orf58
eye_score LOC103822999 0.1768433047327917 LOC103822999
CCDC69 eye_score 0.17742628173148203 CCDC69
TNFRSF21 eye_score 0.17761362554505544 TNFRSF21
eye_score LOC103823963 0.17931257504055728 LOC103823963
eye_score FAM76A 0.1807298085363916 FAM76A
GAS7 eye_score 0.18103138709238475 GAS7
ACTR2 eye_score 0.18124641217571924 ACTR2
UNC93B1 eye_score 0.18149874229170518 UNC93B1
ITGB2 eye_score 0.1818525260485951 ITGB2
MRPS11 eye_score 0.18213895378442918 MRPS11
CDK5R1 eye_score 0.18302362274260886 CDK5R1
ARPC5 eye_score 0.18388575156254805 ARPC5
LOC103824689 eye_score 0.18471851419011642 LOC103824689
SCML2 eye_score 0.18473738551784485 SCML2
NEFM eye_score 0.18495773229889328 NEFM
eye_score RALGAPB 0.1858892777720377 RALGAPB
NHSL2 eye_score 0.18626896543977547 NHSL2
eye_score LIPA 0.1871215585902099 LIPA
LOC115484906 eye_score 0.18713179501250785 LOC115484906
eye_score STIL 0.18827365688507544 STIL
eye_score ZFAND6 0.18828845531431604 ZFAND6
TBC1D16 eye_score 0.19060404406632547 TBC1D16
eye_score LOC115484609 0.1912079253225122 LOC115484609
eye_score PHTF1 0.19175785496061964 PHTF1
MICU2 eye_score 0.19214964020211864 MICU2
SLC9A1 eye_score 0.19314056433005616 SLC9A1
eye_score LOC108964088 0.19441362755763936 LOC108964088
ZNF593 eye_score 0.19441744305338016 ZNF593
SLC30A10 eye_score 0.19449046510874643 SLC30A10
eye_score PCMT1 0.19534836717130316 PCMT1
LOC103826946 eye_score 0.19639831882872366 LOC103826946
RBMX2 eye_score 0.1971957175577955 RBMX2
eye_score SFXN5 0.198166893932212 SFXN5
CTSH eye_score 0.19824528649418197 CTSH
eye_score VWCE 0.19839398138066316 VWCE
LOC103825293 eye_score 0.19919927186480643 LOC103825293
eye_score PRPF6 0.19931240226090147 PRPF6
LOC108964905 eye_score 0.2008982073623157 LOC108964905
CTSA eye_score 0.20225433719755997 CTSA
SDCBP eye_score 0.2022974563162633 SDCBP
PDIA6 eye_score 0.2025600456297562 PDIA6
eye_score ATP11C 0.20309712690017245 ATP11C
eye_score SOD2 0.2038727613445389 SOD2
THNSL1 eye_score 0.20416780291477502 THNSL1
CAMP eye_score 0.2046643288900276 CAMP
LOC103825305 eye_score 0.2056269784360027 LOC103825305
LOC115483819 eye_score 0.2058213287085605 LOC115483819
eye_score DPCD 0.20729915992965764 DPCD
eye_score LOC115484219 0.20752888200741432 LOC115484219
LOC103825260 eye_score 0.20788234344564863 LOC103825260
AP3M1 eye_score 0.20901950144636655 AP3M1
eye_score KDM7A 0.20944110119986686 KDM7A
CUNH1orf162 eye_score 0.2106203142956468 CUNH1orf162
eye_score DNAJA3 0.21163521013243336 DNAJA3
ZAR1 eye_score 0.2122380634707575 ZAR1
eye_score LOC103815598 0.21355998029188 LOC103815598
eye_score FBXW8 0.21405975786929046 FBXW8
DTX4 eye_score 0.21415552523702494 DTX4
eye_score LRIF1 0.21450231385627103 LRIF1
G6PD eye_score 0.21486658912030984 G6PD
eye_score PCYT1A 0.21578643183067703 PCYT1A
GPR146 eye_score 0.21632502973371917 GPR146
GTF2E2 eye_score 0.21657415006669867 GTF2E2
eye_score SYNJ1 0.21675044857065293 SYNJ1
eye_score NDUFA10 0.2177897654835268 NDUFA10
eye_score KLHDC10 0.21812814561939783 KLHDC10
TIA1 eye_score 0.2193887195329178 TIA1
LOC103818606 eye_score 0.22057164697983017 LOC103818606
SLC35B1 eye_score 0.2205738310659882 SLC35B1
LOC103825357 eye_score 0.22060493648759338 LOC103825357
PRKCB eye_score 0.2208886936829992 PRKCB
CIRBP eye_score 0.22109377724661414 CIRBP
ADPRH eye_score 0.2224583740881303 ADPRH
TMEM154 eye_score 0.22275376622708992 TMEM154
RRP9 eye_score 0.22311459413146656 RRP9
eye_score LOC108964039 0.22377330783489574 LOC108964039
LOC103816882 eye_score 0.22416244723024312 LOC103816882
eye_score TBC1D13 0.22666184559940683 TBC1D13
eye_score HPS6 0.2284467733094667 HPS6
ATP5F1B eye_score 0.2297220088361413 ATP5F1B
eye_score LOC115485454 0.2297740491645306 LOC115485454
MAFF eye_score 0.22994647610265997 MAFF
VSIR eye_score 0.23004435541613696 VSIR
ALDH2 eye_score 0.23110048168701292 ALDH2
ANGPTL2 eye_score 0.2325818250604302 ANGPTL2
LOC103823572 eye_score 0.23417460845549795 LOC103823572
eye_score SCNN1D 0.23487873276016658 SCNN1D
eye_score KLHL25 0.23643956821481915 KLHL25
FMNL1 eye_score 0.23884882526894996 FMNL1
eye_score PCYT2 0.23952168885091857 PCYT2
eye_score CAMK2B 0.24055987862759767 CAMK2B
LOC108962245 eye_score 0.2405720873558298 LOC108962245
eye_score KPNA1 0.2407119803570915 KPNA1
ASB9 eye_score 0.24089162989524399 ASB9
DDHD2 eye_score 0.24107745335658826 DDHD2
PKM eye_score 0.24254243115097215 PKM
YWHAG eye_score 0.24277263837817348 YWHAG
eye_score HNRNPD 0.24279241806237775 HNRNPD
CLU eye_score 0.24312493818912956 CLU
eye_score TRAF3IP3 0.2445498388582234 TRAF3IP3
GRN eye_score 0.24482091037191284 GRN
eye_score LOC108961208 0.24488212173836213 LOC108961208
SAMHD1 eye_score 0.24523727307486534 SAMHD1
RGS14 eye_score 0.24542284469359593 RGS14
TBC1D12 eye_score 0.2466199017771919 TBC1D12
eye_score BRIP1 0.2472377916898998 BRIP1
CEBPB eye_score 0.24746488739821657 CEBPB
eye_score CACTIN 0.2485742996556004 CACTIN
NEFL eye_score 0.24937974483474898 NEFL
CGNL1 eye_score 0.2498156098766767 CGNL1
TUBGCP5 eye_score 0.2499726897864282 TUBGCP5
PYGL eye_score 0.2505802118934234 PYGL
GFOD1 eye_score 0.25099893562443804 GFOD1
ACSL6 eye_score 0.251604837792908 ACSL6
SVIL eye_score 0.25271591804480015 SVIL
LOC103821113 eye_score 0.2528693606273782 LOC103821113
eye_score GPR155 0.2533227594551727 GPR155
TLE2 eye_score 0.2533910319384134 TLE2
LOC103823257 eye_score 0.25375215774342763 LOC103823257
eye_score LOC103815509 0.2537765126057991 LOC103815509
FAM107B eye_score 0.2537929314797445 FAM107B
CAVIN1 eye_score 0.25524175096518803 CAVIN1
BICD2 eye_score 0.25537260559824065 BICD2
eye_score SP3 0.25624894187814024 SP3
SPPL3 eye_score 0.2572450556689104 SPPL3
eye_score KATNB1 0.2575096836640195 KATNB1
LOC103816381 eye_score 0.2581746249464881 LOC103816381
ABR eye_score 0.2585726925110061 ABR
SRI eye_score 0.25899120453559576 SRI
ATP5F1D eye_score 0.260417575931921 ATP5F1D
LOC103821941 eye_score 0.2606815842190889 LOC103821941
LOC103821255 eye_score 0.26123342867361515 LOC103821255
FLAD1 eye_score 0.262535522350517 FLAD1
SHF eye_score 0.2643099333092511 SHF
eye_score C1D 0.2649440972546632 C1D
LOC108961418 eye_score 0.26505679984394337 LOC108961418
EZR eye_score 0.2656110118098566 EZR
MRPL16 eye_score 0.2668191863334143 MRPL16
FAM222B eye_score 0.26752021467287496 FAM222B
eye_score PABPC4 0.2675807184805362 PABPC4
WDR5 eye_score 0.26762658518074706 WDR5
eye_score NR1D2 0.26832719682479395 NR1D2
SDR16C5 eye_score 0.26909995418444427 SDR16C5
EEF1G eye_score 0.26927058519524094 EEF1G
eye_score SPPL2A 0.2697580938280537 SPPL2A
eye_score EIF2S3 0.27087752987545766 EIF2S3
eye_score LOC103825212 0.271698810008423 LOC103825212
eye_score KATNA1 0.27203710959159305 KATNA1
SYNGR1 eye_score 0.2724329767521194 SYNGR1
LCP2 eye_score 0.27326935623073445 LCP2
eye_score SCAF8 0.27344792842180876 SCAF8
ITPK1 eye_score 0.2739144259382671 ITPK1
SLC25A1 eye_score 0.2744065081701573 SLC25A1
DENND6A eye_score 0.27517260795950266 DENND6A
LOC103824329 eye_score 0.27518381961208915 LOC103824329
LOC115484083 eye_score 0.27707615031076976 LOC115484083
PI4K2A eye_score 0.27764723346340564 PI4K2A
LOC103815251 eye_score 0.27798536410755736 LOC103815251
eye_score GTF2F2 0.28084793107698786 GTF2F2
eye_score LOC103824654 0.28119324983035915 LOC103824654
PTMA eye_score 0.28141306716573383 PTMA
eye_score LOC103816800 0.2823021273214159 LOC103816800
FAM133B eye_score 0.2829844227477586 FAM133B
CEP57 eye_score 0.2853286796266701 CEP57
ABI1 eye_score 0.28572993803734104 ABI1
eye_score WRN 0.2886257542854748 WRN
eye_score LOC103821046 0.28865024059271527 LOC103821046
eye_score VTA1 0.28886814138799566 VTA1
PIGQ eye_score 0.2891453934081094 PIGQ
eye_score ANXA13 0.28930076647769976 ANXA13
UPK1B eye_score 0.2895400530360233 UPK1B
eye_score APIP 0.2899614007862641 APIP
eye_score TMEM38A 0.2901060234532871 TMEM38A
LMBR1L eye_score 0.2903384664287834 LMBR1L
eye_score PTK7 0.2912585366640206 PTK7
CDC42 eye_score 0.2925417038546557 CDC42
LRRC8D eye_score 0.29338000808734005 LRRC8D
eye_score APAF1 0.29414506897730736 APAF1
CUNH5orf51 eye_score 0.29445403593785713 CUNH5orf51
eye_score LOC103826153 0.29527523730451904 LOC103826153
PFKP eye_score 0.2975422085673554 PFKP
PGRMC2 eye_score 0.29822773358602145 PGRMC2
TNFRSF13B eye_score 0.2996409686924578 TNFRSF13B
eye_score PAFAH1B2 0.29968337402491196 PAFAH1B2
LOC103825668 eye_score 0.3000471092062542 LOC103825668
MMS19 eye_score 0.3007634682079616 MMS19
FMNL3 eye_score 0.3009181584928459 FMNL3
eye_score ICK 0.301406046760895 ICK
eye_score ATXN2 0.3044160306971641 ATXN2
LOC103815708 eye_score 0.3047581924420692 LOC103815708
MTX1 eye_score 0.3055104275718199 MTX1
ZHX1 eye_score 0.30594985961367527 ZHX1
eye_score SERPINC1 0.3060011365734746 SERPINC1
ABCD2 eye_score 0.3078355885016588 ABCD2
UNK eye_score 0.30874176299721523 UNK
LOC103827110 eye_score 0.3090223535566178 LOC103827110
eye_score ZFC3H1 0.30923564022475175 ZFC3H1
LFNG eye_score 0.30927499857361734 LFNG
GNB1 eye_score 0.3093625638531974 GNB1
LOC103824010 eye_score 0.30963743697501045 LOC103824010
ADAM15 eye_score 0.3107180926967735 ADAM15
eye_score UFD1 0.3117839840921711 UFD1
LOC108962280 eye_score 0.312232530183525 LOC108962280
CEBPD eye_score 0.3126728153942875 CEBPD
eye_score LOC103824978 0.3142347384135861 LOC103824978
QSER1 eye_score 0.31503760736620146 QSER1
eye_score PPIL4 0.3151817926360261 PPIL4
TIMM17A eye_score 0.3152310800654205 TIMM17A
eye_score CCNDBP1 0.31588732591099644 CCNDBP1
eye_score GNAS 0.3163334736717839 GNAS
APBB1IP eye_score 0.3179184468549286 APBB1IP
eye_score CCNB2 0.3190024368361356 CCNB2
CUNH8orf76 eye_score 0.3199041174178795 CUNH8orf76
eye_score RSBN1 0.32160227137347597 RSBN1
YDJC eye_score 0.3221868534466204 YDJC
eye_score KLHL22 0.32231233285246724 KLHL22
LOC103817495 eye_score 0.32309601313895897 LOC103817495
LOC103815678 eye_score 0.32532623400495386 LOC103815678
DDH36_mgr01 eye_score 0.3259756335920649 DDH36_mgr01
eye_score CARS2 0.3269688169937291 CARS2
eye_score LOC103823845 0.3282537277913241 LOC103823845
eye_score MCL1 0.3289508790174809 MCL1
eye_score ZCRB1 0.3303378555059334 ZCRB1
NFKBIA eye_score 0.3309020967820691 NFKBIA
PSTPIP1 eye_score 0.3315153373014901 PSTPIP1
eye_score BRWD3 0.33189084041729033 BRWD3
TASOR eye_score 0.33189754152183454 TASOR
PSAP eye_score 0.3324530105565902 PSAP
GNAI2 eye_score 0.3333405678002519 GNAI2
LOC103813348 eye_score 0.3345038640844101 LOC103813348
LOC108963958 eye_score 0.33458884481972234 LOC108963958
APH1A eye_score 0.3351995782657768 APH1A
DFFA eye_score 0.3352330062607727 DFFA
ITPRIP eye_score 0.3353790926430517 ITPRIP
eye_score CTNNBL1 0.3362733657374736 CTNNBL1
PSME3 eye_score 0.3363552037336921 PSME3
LOC115484657 eye_score 0.3364353558792426 LOC115484657
DDC eye_score 0.3382338731406918 DDC
IFFO1 eye_score 0.33861889378297405 IFFO1
FOS eye_score 0.3387776875676436 FOS
eye_score KDM5A 0.33901056046025785 KDM5A
LOC103816031 eye_score 0.3397328193624266 LOC103816031
ISCA2 eye_score 0.3411098823253847 ISCA2
ANKRD27 eye_score 0.3414379899309189 ANKRD27
GUSB eye_score 0.34200096157795 GUSB
eye_score IFIT5 0.3420528454120774 IFIT5
eye_score ATP5PB 0.3435035054641675 ATP5PB
eye_score LEMD3 0.34375211765576347 LEMD3
EFCAB14 eye_score 0.34474392670124954 EFCAB14
HDGF eye_score 0.3451091659959519 HDGF
eye_score LOC103825409 0.3464726140183984 LOC103825409
PLAG1 eye_score 0.348047064164947 PLAG1
eye_score LOC115484227 0.3481332534337962 LOC115484227
SGK1 eye_score 0.348642921630053 SGK1
UGCG eye_score 0.35022615123238426 UGCG
eye_score ZBTB48 0.35100235537559776 ZBTB48
eye_score TESK2 0.35221994797213957 TESK2
LOC103825221 eye_score 0.35284915346232903 LOC103825221
LOC115484068 eye_score 0.3553948738643935 LOC115484068
eye_score CHD4 0.35677032283903876 CHD4
eye_score FANCM 0.35923557332327855 FANCM
P4HA1 eye_score 0.3599926321030781 P4HA1
CSTF2 eye_score 0.3605394828883025 CSTF2
BLVRA eye_score 0.36108859081082273 BLVRA
CPOX eye_score 0.361306699984021 CPOX
CBFB eye_score 0.3613127768496715 CBFB
PIAS4 eye_score 0.3616571602094488 PIAS4
LOC103821717 eye_score 0.36166670629347536 LOC103821717
RUFY3 eye_score 0.3620422728179052 RUFY3
PLPP6 eye_score 0.36231881110422737 PLPP6
eye_score ALDH4A1 0.3625446227712211 ALDH4A1
OTULINL eye_score 0.3625956894002456 OTULINL
eye_score LOC108962424 0.36361400003560335 LOC108962424
eye_score SYAP1 0.36384999482975694 SYAP1
eye_score TAGLN 0.3650263473179654 TAGLN
ZNF622 eye_score 0.36562235194940695 ZNF622
eye_score GNG2 0.36577129273680875 GNG2
eye_score R3HDM2 0.3676407838787695 R3HDM2
