"entrezgene_id","gene","Estimate","Std. Error","z value","Pr(>|z|)","FDR"
"103817612","ATP5MF",2.1784211016938326,0.8117223571000755,2.6837022322218234,0.007281192399797229,0.025748052908448272
"103820818","C21H1orf174",4.448117072162622,1.478678265605395,3.0081709967796755,0.0026282520868779833,0.023293306884048678
"103819355","C2H7orf25",3.3094717061510233,1.3210292420069014,2.505222141126331,0.012237450799296019,0.037345892698585875
"103827033","C5H11orf16",-9.56414643200688,3.2445114910526294,-2.947792436051427,0.003200518786753739,0.023293306884048678
"103813779","C6H10orf88",8.915301180805185,3.1248445098120885,2.8530383360870983,0.004330339723436687,0.023293306884048678
NA,"DDH36_mgp01",1.3987393788956055,0.5112809660190479,2.7357548429516445,0.006223737410192801,0.02383926669695175
NA,"DDH36_mgp06",1.4926780741287866,0.5410537384727497,2.75883515441963,0.005800778819439762,0.02340888582419045
NA,"DDH36_mgp07",1.4498214988781417,0.597016448823007,2.428444813767534,0.015163732655820302,0.04469156898032437
NA,"DDH36_mgp08",1.572982941011489,0.5891902847594417,2.669736724619817,0.007591074216217634,0.02637516728204125
NA,"DDH36_mgp11",1.6841764633140177,0.582745043696537,2.8900742812512847,0.0038515080636319014,0.023293306884048678
NA,"DDH36_mgp13",1.3315044469355373,0.5141848349871032,2.5895443745806586,0.009610303583738662,0.03090892966391834
"103825956","GUCY1B1",-2.520025378076018,0.7839133447968895,-3.2146734008322717,0.0013059301332878747,0.023293306884048678
"103825368","HROB",-1.7015421818617757,0.5810576700399717,-2.9283533624893456,0.003407625265543569,0.023293306884048678
"103812271","LOC103812271",-4.020405569726046,1.3896699048477898,-2.8930651485659107,0.003815021561812378,0.023293306884048678
"103812282","LOC103812282",-4.7783576086682995,1.731696888179896,-2.7593498846617455,0.005791648908714568,0.02340888582419045
"103812328","LOC103812328",19.37785999784207,5.838205112923741,3.3191468307521905,9.029293864722448e-4,0.023293306884048678
"103812360","LOC103812360",2.083026138032547,0.6930905238288904,3.0054171373244785,0.0026521684901369322,0.023293306884048678
"103812407","LOC103812407",4.7793839432570735,1.6229441567997471,2.9448850246834435,0.0032307469423817417,0.023293306884048678
"103812424","LOC103812424",-23.324710678597196,7.436344936901774,-3.1365826728735686,0.0017092923849779088,0.023293306884048678
"103812467","LOC103812467",2.1705909050615877,0.8259334421916332,2.628045789382102,0.008587695521887987,0.028504018208424027
"103812500","LOC103812500",-2.2367077729747327,0.8346030383321801,-2.6799660080850334,0.0073629636662736414,0.02588969051642228
"103812545","LOC103812545",-3.4748664582580413,1.4460928372392137,-2.402934561858442,0.016264097532699737,0.04745062569572223
"103812572","LOC103812572",1.408018622172158,0.5134794470789973,2.7421129125652004,0.006104535319274791,0.023657588431382777
"103812586","LOC103812586",-3.3751920765596553,1.3718675834646008,-2.460289985157119,0.013882479514688092,0.04139432436316942
"103812614","LOC103812614",3.2180575407858254,1.217978309166177,2.64213041937413,0.008238632485296354,0.027752873604413718
"103812648","LOC103812648",5.736716649927711,2.080596712239809,2.7572458497985455,0.005829050694358929,0.02340888582419045
"103812650","LOC103812650",-1.6414506070420407,0.5753042911125507,-2.8531867959262494,0.004328317095802702,0.023293306884048678
"103812679","LOC103812679",2.149907891431468,0.8142654478321725,2.640303474935834,0.008283181771969256,0.027845668576807453
"103812686","LOC103812686",-24.67466597185249,8.327866231892463,-2.9629037360564454,0.0030475185964571345,0.023293306884048678
"103812708","LOC103812708",1.9814827811976528,0.7097722507711235,2.7917163273781056,0.005242929806751367,0.023293306884048678
"103812714","LOC103812714",3.913955559116352,1.5588161277487484,2.510851337398536,0.012044040576032384,0.03688397338765955
"103812730","LOC103812730",-2.894126888751142,1.1020931821848934,-2.6260273954454125,0.008638786422617941,0.02861064286869452
"103812740","LOC103812740",45.14393821102708,17.867331102067165,2.526618998279163,0.011516636541154196,0.035589387688683
"103812750","LOC103812750",-3.540180621001853,1.191748325198529,-2.9705773829487927,0.002972405098845002,0.023293306884048678
"103812759","LOC103812759",-4.064236965391202,1.3877270055883166,-2.9287006371027555,0.0034038207473785715,0.023293306884048678
"103812791","LOC103812791",2.9920441544110017,1.009307958959571,2.9644511646329454,0.003032233668248905,0.023293306884048678
"103812797","LOC103812797",6.4207936569591695,2.5612073669918556,2.5069401797404667,0.012178131987661225,0.03721328856983422
"103812830","LOC103812830",-4.405339773346507,1.2509688646081385,-3.5215423005163795,4.2904421044756005e-4,0.023293306884048678
"103812923","LOC103812923",-3.869516740138673,1.1151201347406314,-3.470044723960341,5.203717089020204e-4,0.023293306884048678
"103812931","LOC103812931",-5.022402480079052,1.2078824379908168,-4.158022603949173,3.2101426601924545e-5,0.023293306884048678
"103812937","LOC103812937",6.661098540592721,2.757783718480518,2.4153810525296917,0.015718755612536345,0.046100519009061376
"103812941","LOC103812941",-1.8084105264913986,0.7296888997533566,-2.4783308710090868,0.01319986747351382,0.03975822847677762
"103812947","LOC103812947",-4.499958419548494,1.6920366272703722,-2.6594923224610794,0.0078258513616811,0.02688340304341484
"103813055","LOC103813055",-0.8508530219646631,0.33648069922157137,-2.5286829941005897,0.01144913847642759,0.03543082118143482
"103813091","LOC103813091",-4.474634081560007,1.2882873683008078,-3.4733198443619338,5.140623469323816e-4,0.023293306884048678
"103813164","LOC103813164",10.097351921085503,3.577773323344013,2.8222447339530947,0.004768876964296856,0.023293306884048678
"103813189","LOC103813189",-22.922745523881733,6.145156183213543,-3.7302136577909613,1.9131746329481564e-4,0.023293306884048678
